concept_id	concept_history_id	concept_history_date	component_id	component_history_id	logical_type	codelist_id	codelist_history_id	id	code	description	attributes.Entity.type	attributes.Coding.System..ICD.10.Read.	attributes.Category	concept_version_id	concept_name	coding_system.id	coding_system.name	coding_system.description	phenotype_id	phenotype_version_id	phenotype_name
2651	6715	2022-04-04T07:08:18.604403Z	2974	4011	1	2974	3956	181438	G32..11	Healed myocardial infarction	res69: myocardial_infarction	Read	diagnostic	6715	Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH886	1851	Myocardial Infarction
2651	6715	2022-04-04T07:08:18.604403Z	2974	4011	1	2974	3956	181425	G301.00	Other specified anterior myocardial infarction	res69: myocardial_infarction	Read	diagnostic	6715	Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH886	1851	Myocardial Infarction
2651	6715	2022-04-04T07:08:18.604403Z	2974	4011	1	2974	3956	181420	G30..13	Cardiac rupture following myocardial infarction (MI)	res69: myocardial_infarction	Read	diagnostic	6715	Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH886	1851	Myocardial Infarction
2651	6715	2022-04-04T07:08:18.604403Z	2974	4011	1	2974	3956	181432	G30..12	Coronary thrombosis	res69: myocardial_infarction	Read	diagnostic	6715	Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH886	1851	Myocardial Infarction
2651	6715	2022-04-04T07:08:18.604403Z	2974	4011	1	2974	3956	181441	G305.00	Lateral myocardial infarction NOS	res69: myocardial_infarction	Read	diagnostic	6715	Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH886	1851	Myocardial Infarction
2651	6715	2022-04-04T07:08:18.604403Z	2974	4011	1	2974	3956	181419	G30..15	MI - acute myocardial infarction	res69: myocardial_infarction	Read	diagnostic	6715	Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH886	1851	Myocardial Infarction
2651	6715	2022-04-04T07:08:18.604403Z	2974	4011	1	2974	3956	181422	G307100	Acute non-ST segment elevation myocardial infarction	res69: myocardial_infarction	Read	diagnostic	6715	Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH886	1851	Myocardial Infarction
2651	6715	2022-04-04T07:08:18.604403Z	2974	4011	1	2974	3956	181437	G300.00	Acute anterolateral infarction	res69: myocardial_infarction	Read	diagnostic	6715	Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH886	1851	Myocardial Infarction
2651	6715	2022-04-04T07:08:18.604403Z	2974	4011	1	2974	3956	181427	G30z.00	Acute myocardial infarction NOS	res69: myocardial_infarction	Read	diagnostic	6715	Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH886	1851	Myocardial Infarction
2651	6715	2022-04-04T07:08:18.604403Z	2974	4011	1	2974	3956	181440	G30..17	Silent myocardial infarction	res69: myocardial_infarction	Read	diagnostic	6715	Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH886	1851	Myocardial Infarction
2651	6715	2022-04-04T07:08:18.604403Z	2974	4011	1	2974	3956	181430	G303.00	Acute inferoposterior infarction	res69: myocardial_infarction	Read	diagnostic	6715	Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH886	1851	Myocardial Infarction
