concept_id	concept_history_id	concept_history_date	component_id	component_history_id	logical_type	codelist_id	codelist_history_id	id	code	description	attributes.CALIBER.Category	attributes.category	concept_version_id	concept_name	coding_system.id	coding_system.name	coding_system.description	phenotype_id	phenotype_version_id	phenotype_name
3170	8499	2022-08-23T11:24:03.415352Z	3773	5092	1	3773	4987	249239	G30X000	Acute ST segment elevation myocardial infarction	STEMI		8499	File - Acute Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH1024	2257	Acute Myocardial Infarction (AMI)
3170	8499	2022-08-23T11:24:03.415352Z	3773	5092	1	3773	4987	249252	G30..16	Thrombosis - coronary	Acute MI not further specified		8499	File - Acute Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH1024	2257	Acute Myocardial Infarction (AMI)
3170	8499	2022-08-23T11:24:03.415352Z	3773	5092	1	3773	4987	249247	889A.00	Diab mellit insulin-glucose infus acute myocardial infarct	Acute MI not further specified		8499	File - Acute Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH1024	2257	Acute Myocardial Infarction (AMI)
3170	8499	2022-08-23T11:24:03.415352Z	3773	5092	1	3773	4987	249267	G30B.00	Acute posterolateral myocardial infarction	Acute MI not further specified		8499	File - Acute Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH1024	2257	Acute Myocardial Infarction (AMI)
3170	8499	2022-08-23T11:24:03.415352Z	3773	5092	1	3773	4987	249262	G306.00	True posterior myocardial infarction	Acute MI not further specified		8499	File - Acute Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH1024	2257	Acute Myocardial Infarction (AMI)
3170	8499	2022-08-23T11:24:03.415352Z	3773	5092	1	3773	4987	249257	G301z00	Anterior myocardial infarction NOS	Acute MI not further specified		8499	File - Acute Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH1024	2257	Acute Myocardial Infarction (AMI)
3170	8499	2022-08-23T11:24:03.415352Z	3773	5092	1	3773	4987	249275	G31y100	Microinfarction of heart	Acute MI not further specified		8499	File - Acute Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH1024	2257	Acute Myocardial Infarction (AMI)
3170	8499	2022-08-23T11:24:03.415352Z	3773	5092	1	3773	4987	249244	3235	ECG: subendocardial infarct	Acute MI not further specified		8499	File - Acute Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH1024	2257	Acute Myocardial Infarction (AMI)
3170	8499	2022-08-23T11:24:03.415352Z	3773	5092	1	3773	4987	249264	G307000	Acute non-Q wave infarction	Acute MI not further specified		8499	File - Acute Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH1024	2257	Acute Myocardial Infarction (AMI)
3170	8499	2022-08-23T11:24:03.415352Z	3773	5092	1	3773	4987	249255	G301000	Acute anteroapical infarction	Acute MI not further specified		8499	File - Acute Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH1024	2257	Acute Myocardial Infarction (AMI)
3170	8499	2022-08-23T11:24:03.415352Z	3773	5092	1	3773	4987	249270	G30y000	Acute atrial infarction	Acute MI not further specified		8499	File - Acute Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH1024	2257	Acute Myocardial Infarction (AMI)
3170	8499	2022-08-23T11:24:03.415352Z	3773	5092	1	3773	4987	249279	G384.00	Postoperative subendocardial myocardial infarction	Acute MI not further specified		8499	File - Acute Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH1024	2257	Acute Myocardial Infarction (AMI)
3170	8499	2022-08-23T11:24:03.415352Z	3773	5092	1	3773	4987	249265	G308.00	Inferior myocardial infarction NOS	Acute MI not further specified		8499	File - Acute Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH1024	2257	Acute Myocardial Infarction (AMI)
3170	8499	2022-08-23T11:24:03.415352Z	3773	5092	1	3773	4987	249260	G304.00	Posterior myocardial infarction NOS	Acute MI not further specified		8499	File - Acute Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH1024	2257	Acute Myocardial Infarction (AMI)
3170	8499	2022-08-23T11:24:03.415352Z	3773	5092	1	3773	4987	249249	G30..12	Coronary thrombosis	Acute MI not further specified		8499	File - Acute Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH1024	2257	Acute Myocardial Infarction (AMI)
3170	8499	2022-08-23T11:24:03.415352Z	3773	5092	1	3773	4987	249272	G30y200	Acute septal infarction	Acute MI not further specified		8499	File - Acute Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH1024	2257	Acute Myocardial Infarction (AMI)
3170	8499	2022-08-23T11:24:03.415352Z	3773	5092	1	3773	4987	249246	323Z.00	ECG: myocardial infarct NOS	Acute MI not further specified		8499	File - Acute Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH1024	2257	Acute Myocardial Infarction (AMI)
3170	8499	2022-08-23T11:24:03.415352Z	3773	5092	1	3773	4987	249280	G38z.00	"Postoperative myocardial infarction, unspecified"	Acute MI not further specified		8499	File - Acute Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH1024	2257	Acute Myocardial Infarction (AMI)
3170	8499	2022-08-23T11:24:03.415352Z	3773	5092	1	3773	4987	249273	G30yz00	Other acute myocardial infarction NOS	Acute MI not further specified		8499	File - Acute Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH1024	2257	Acute Myocardial Infarction (AMI)
3170	8499	2022-08-23T11:24:03.415352Z	3773	5092	1	3773	4987	249271	G30y100	Acute papillary muscle infarction	Acute MI not further specified		8499	File - Acute Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH1024	2257	Acute Myocardial Infarction (AMI)
3170	8499	2022-08-23T11:24:03.415352Z	3773	5092	1	3773	4987	249261	G305.00	Lateral myocardial infarction NOS	Acute MI not further specified		8499	File - Acute Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH1024	2257	Acute Myocardial Infarction (AMI)
3170	8499	2022-08-23T11:24:03.415352Z	3773	5092	1	3773	4987	249241	323..00	ECG: myocardial infarction	Acute MI not further specified		8499	File - Acute Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH1024	2257	Acute Myocardial Infarction (AMI)
3170	8499	2022-08-23T11:24:03.415352Z	3773	5092	1	3773	4987	249254	G301.00	Other specified anterior myocardial infarction	Acute MI not further specified		8499	File - Acute Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH1024	2257	Acute Myocardial Infarction (AMI)
