concept_id	concept_history_id	concept_history_date	component_id	component_history_id	logical_type	codelist_id	codelist_history_id	id	code	description	attributes.Disease	attributes.Medcode	attributes.Category	attributes.ReadcodeDescr	attributes.Readcode	concept_version_id	concept_name	coding_system.id	coding_system.name	coding_system.description	phenotype_id	phenotype_version_id	phenotype_name
1206	3551	2021-10-06T16:06:43.991066Z	1410	2097	1	1410	2043	63978	662f.00	New York Heart Association classification - class I	Heart failure	18853.0	Diagnosis of Heart failure			3551	Heart failure - Primary care	5	Read codes v2	Read codes v2	PH182	364	Heart failure
1206	3551	2021-10-06T16:06:43.991066Z	1410	2097	1	1410	2043	64002	9N2p.00	Seen by community heart failure nurse	Heart failure	19002.0	History of Heart failure			3551	Heart failure - Primary care	5	Read codes v2	Read codes v2	PH182	364	Heart failure
1206	3551	2021-10-06T16:06:43.991066Z	1410	2097	1	1410	2043	64042	G584.00	Right ventricular failure	Heart failure	104275.0	Diagnosis of Heart failure			3551	Heart failure - Primary care	5	Read codes v2	Read codes v2	PH182	364	Heart failure
1206	3551	2021-10-06T16:06:43.991066Z	1410	2097	1	1410	2043	63992	8H2S.00	Admit heart failure emergency	Heart failure	32898.0	History of Heart failure			3551	Heart failure - Primary care	5	Read codes v2	Read codes v2	PH182	364	Heart failure
1206	3551	2021-10-06T16:06:43.991066Z	1410	2097	1	1410	2043	64022	G234.00	Hyperten heart&renal dis+both(congestv)heart and renal fail	Heart failure	57987.0	Diagnosis of Heart failure			3551	Heart failure - Primary care	5	Read codes v2	Read codes v2	PH182	364	Heart failure
1206	3551	2021-10-06T16:06:43.991066Z	1410	2097	1	1410	2043	63997	9h12.00	Excepted from LVD quality indicators: Informed dissent	Heart failure	28649.0	History of Heart failure			3551	Heart failure - Primary care	5	Read codes v2	Read codes v2	PH182	364	Heart failure
1206	3551	2021-10-06T16:06:43.991066Z	1410	2097	1	1410	2043	64009	9On..00	Left ventricular dysfunction monitoring administration	Heart failure	18793.0	History of Heart failure			3551	Heart failure - Primary care	5	Read codes v2	Read codes v2	PH182	364	Heart failure
1206	3551	2021-10-06T16:06:43.991066Z	1410	2097	1	1410	2043	64047	G5yy900	Left ventricular systolic dysfunction	Heart failure	8966.0	Diagnosis of Heart failure			3551	Heart failure - Primary care	5	Read codes v2	Read codes v2	PH182	364	Heart failure
1206	3551	2021-10-06T16:06:43.991066Z	1410	2097	1	1410	2043	64021	G232.00	Hypertensive heart&renal dis wth (congestive) heart failure	Heart failure	21837.0	Diagnosis of Heart failure			3551	Heart failure - Primary care	5	Read codes v2	Read codes v2	PH182	364	Heart failure
1206	3551	2021-10-06T16:06:43.991066Z	1410	2097	1	1410	2043	64016	9Or..00	Heart failure monitoring administration	Heart failure	32911.0	History of Heart failure			3551	Heart failure - Primary care	5	Read codes v2	Read codes v2	PH182	364	Heart failure
