concept_id	concept_history_id	concept_history_date	component_id	component_history_id	logical_type	codelist_id	codelist_history_id	id	code	description	attributes.Medcode	concept_version_id	concept_name	coding_system.id	coding_system.name	coding_system.description	phenotype_id	phenotype_version_id	phenotype_name
3342	10221	2023-02-13T17:30:46.281759Z	8881	10481	1	8881	10195	304017	8CMW800	Heart failure clinical pathway	106008	10221	Congestive heart failure Read codes - Elixhauser	5	Read codes v2	Read codes v2	PH1074	2351	Congestive heart failure - Elixhauser primary care
3342	10221	2023-02-13T17:30:46.281759Z	8881	10481	1	8881	10195	304011	8CMK.00	Has heart failure management plan	103732	10221	Congestive heart failure Read codes - Elixhauser	5	Read codes v2	Read codes v2	PH1074	2351	Congestive heart failure - Elixhauser primary care
3342	10221	2023-02-13T17:30:46.281759Z	8881	10481	1	8881	10195	303946	G580.14	Biventricular failure	9524	10221	Congestive heart failure Read codes - Elixhauser	5	Read codes v2	Read codes v2	PH1074	2351	Congestive heart failure - Elixhauser primary care
3342	10221	2023-02-13T17:30:46.281759Z	8881	10481	1	8881	10195	303994	8HHz.00	Referral to heart failure exercise programme	70619	10221	Congestive heart failure Read codes - Elixhauser	5	Read codes v2	Read codes v2	PH1074	2351	Congestive heart failure - Elixhauser primary care
3342	10221	2023-02-13T17:30:46.281759Z	8881	10481	1	8881	10195	303978	662W.00	Heart failure annual review	30779	10221	Congestive heart failure Read codes - Elixhauser	5	Read codes v2	Read codes v2	PH1074	2351	Congestive heart failure - Elixhauser primary care
3342	10221	2023-02-13T17:30:46.281759Z	8881	10481	1	8881	10195	303951	585g.00	Echocardiogram shows left ventricular diastolic dysfunction	11351	10221	Congestive heart failure Read codes - Elixhauser	5	Read codes v2	Read codes v2	PH1074	2351	Congestive heart failure - Elixhauser primary care
3342	10221	2023-02-13T17:30:46.281759Z	8881	10481	1	8881	10195	303985	14AM.00	H/O: Heart failure in last year	46912	10221	Congestive heart failure Read codes - Elixhauser	5	Read codes v2	Read codes v2	PH1074	2351	Congestive heart failure - Elixhauser primary care
3342	10221	2023-02-13T17:30:46.281759Z	8881	10481	1	8881	10195	303952	G580300	Compensated cardiac failure	11424	10221	Congestive heart failure Read codes - Elixhauser	5	Read codes v2	Read codes v2	PH1074	2351	Congestive heart failure - Elixhauser primary care
3342	10221	2023-02-13T17:30:46.281759Z	8881	10481	1	8881	10195	303942	G554000	Congestive cardiomyopathy	5141	10221	Congestive heart failure Read codes - Elixhauser	5	Read codes v2	Read codes v2	PH1074	2351	Congestive heart failure - Elixhauser primary care
3342	10221	2023-02-13T17:30:46.281759Z	8881	10481	1	8881	10195	304030	4270.00	CONGESTIVE HEART FAILURE	303793	10221	Congestive heart failure Read codes - Elixhauser	5	Read codes v2	Read codes v2	PH1074	2351	Congestive heart failure - Elixhauser primary care
3342	10221	2023-02-13T17:30:46.281759Z	8881	10481	1	8881	10195	304019	9m5..00	High risk of heart failure screening invitation	106545	10221	Congestive heart failure Read codes - Elixhauser	5	Read codes v2	Read codes v2	PH1074	2351	Congestive heart failure - Elixhauser primary care
3342	10221	2023-02-13T17:30:46.281759Z	8881	10481	1	8881	10195	303957	9N0k.00	Seen in heart failure clinic	12627	10221	Congestive heart failure Read codes - Elixhauser	5	Read codes v2	Read codes v2	PH1074	2351	Congestive heart failure - Elixhauser primary care
3342	10221	2023-02-13T17:30:46.281759Z	8881	10481	1	8881	10195	304029	4270R	HEART FAILURE RIGHT-SIDED	284055	10221	Congestive heart failure Read codes - Elixhauser	5	Read codes v2	Read codes v2	PH1074	2351	Congestive heart failure - Elixhauser primary care
3342	10221	2023-02-13T17:30:46.281759Z	8881	10481	1	8881	10195	304020	8HTL000	Referral to rapid access heart failure clinic	106680	10221	Congestive heart failure Read codes - Elixhauser	5	Read codes v2	Read codes v2	PH1074	2351	Congestive heart failure - Elixhauser primary care
3342	10221	2023-02-13T17:30:46.281759Z	8881	10481	1	8881	10195	303947	1O1..00	Heart failure confirmed	9913	10221	Congestive heart failure Read codes - Elixhauser	5	Read codes v2	Read codes v2	PH1074	2351	Congestive heart failure - Elixhauser primary care
3342	10221	2023-02-13T17:30:46.281759Z	8881	10481	1	8881	10195	303991	SP11111	Heart failure as a complication of care	66306	10221	Congestive heart failure Read codes - Elixhauser	5	Read codes v2	Read codes v2	PH1074	2351	Congestive heart failure - Elixhauser primary care
