concept_id	concept_history_id	concept_history_date	component_id	component_history_id	logical_type	codelist_id	codelist_history_id	id	code	description	concept_version_id	concept_name	coding_system.id	coding_system.name	coding_system.description	phenotype_id	phenotype_version_id	phenotype_name
3197	8553	2022-08-23T11:28:47.265262Z	3800	5119	1	3800	5014	250506	8B29.00	Cardiac failure therapy	8553	File - Heart Failure - Primary Care - Incident - Diagnosis	5	Read codes v2	Read codes v2	PH1028	2265	Heart Failure (fatal/non-fatal)
3197	8553	2022-08-23T11:28:47.265262Z	3800	5119	1	3800	5014	250500	G232.00	Hypertensive heart&renal dis wth (congestive) heart failure	8553	File - Heart Failure - Primary Care - Incident - Diagnosis	5	Read codes v2	Read codes v2	PH1028	2265	Heart Failure (fatal/non-fatal)
3197	8553	2022-08-23T11:28:47.265262Z	3800	5119	1	3800	5014	250504	662W.00	Heart failure annual review	8553	File - Heart Failure - Primary Care - Incident - Diagnosis	5	Read codes v2	Read codes v2	PH1028	2265	Heart Failure (fatal/non-fatal)
3197	8553	2022-08-23T11:28:47.265262Z	3800	5119	1	3800	5014	250501	G234.00	Hyperten heart&renal dis+both(congestv)heart and renal fail	8553	File - Heart Failure - Primary Care - Incident - Diagnosis	5	Read codes v2	Read codes v2	PH1028	2265	Heart Failure (fatal/non-fatal)
3197	8553	2022-08-23T11:28:47.265262Z	3800	5119	1	3800	5014	250509	G400.00	Acute cor pulmonale	8553	File - Heart Failure - Primary Care - Incident - Diagnosis	5	Read codes v2	Read codes v2	PH1028	2265	Heart Failure (fatal/non-fatal)
3197	8553	2022-08-23T11:28:47.265262Z	3800	5119	1	3800	5014	250521	G580100	Chronic congestive heart failure	8553	File - Heart Failure - Primary Care - Incident - Diagnosis	5	Read codes v2	Read codes v2	PH1028	2265	Heart Failure (fatal/non-fatal)
3197	8553	2022-08-23T11:28:47.265262Z	3800	5119	1	3800	5014	250507	8H2S.00	Admit heart failure emergency	8553	File - Heart Failure - Primary Care - Incident - Diagnosis	5	Read codes v2	Read codes v2	PH1028	2265	Heart Failure (fatal/non-fatal)
3197	8553	2022-08-23T11:28:47.265262Z	3800	5119	1	3800	5014	250496	G210100	Malignant hypertensive heart disease with CCF	8553	File - Heart Failure - Primary Care - Incident - Diagnosis	5	Read codes v2	Read codes v2	PH1028	2265	Heart Failure (fatal/non-fatal)
3197	8553	2022-08-23T11:28:47.265262Z	3800	5119	1	3800	5014	250525	G581.11	Asthma - cardiac	8553	File - Heart Failure - Primary Care - Incident - Diagnosis	5	Read codes v2	Read codes v2	PH1028	2265	Heart Failure (fatal/non-fatal)
3197	8553	2022-08-23T11:28:47.265262Z	3800	5119	1	3800	5014	250533	R2y1000	[D]Cardiorespiratory failure	8553	File - Heart Failure - Primary Care - Incident - Diagnosis	5	Read codes v2	Read codes v2	PH1028	2265	Heart Failure (fatal/non-fatal)
3197	8553	2022-08-23T11:28:47.265262Z	3800	5119	1	3800	5014	250522	G580200	Decompensated cardiac failure	8553	File - Heart Failure - Primary Care - Incident - Diagnosis	5	Read codes v2	Read codes v2	PH1028	2265	Heart Failure (fatal/non-fatal)
3197	8553	2022-08-23T11:28:47.265262Z	3800	5119	1	3800	5014	250517	G580.12	Right heart failure	8553	File - Heart Failure - Primary Care - Incident - Diagnosis	5	Read codes v2	Read codes v2	PH1028	2265	Heart Failure (fatal/non-fatal)
3197	8553	2022-08-23T11:28:47.265262Z	3800	5119	1	3800	5014	250516	G580.11	Congestive cardiac failure	8553	File - Heart Failure - Primary Care - Incident - Diagnosis	5	Read codes v2	Read codes v2	PH1028	2265	Heart Failure (fatal/non-fatal)
3197	8553	2022-08-23T11:28:47.265262Z	3800	5119	1	3800	5014	250527	G581000	Acute left ventricular failure	8553	File - Heart Failure - Primary Care - Incident - Diagnosis	5	Read codes v2	Read codes v2	PH1028	2265	Heart Failure (fatal/non-fatal)
3197	8553	2022-08-23T11:28:47.265262Z	3800	5119	1	3800	5014	250514	G58..11	Cardiac failure	8553	File - Heart Failure - Primary Care - Incident - Diagnosis	5	Read codes v2	Read codes v2	PH1028	2265	Heart Failure (fatal/non-fatal)
3197	8553	2022-08-23T11:28:47.265262Z	3800	5119	1	3800	5014	250503	1O1..00	Heart failure confirmed	8553	File - Heart Failure - Primary Care - Incident - Diagnosis	5	Read codes v2	Read codes v2	PH1028	2265	Heart Failure (fatal/non-fatal)
3197	8553	2022-08-23T11:28:47.265262Z	3800	5119	1	3800	5014	250498	G21z100	Hypertensive heart disease NOS with CCF	8553	File - Heart Failure - Primary Care - Incident - Diagnosis	5	Read codes v2	Read codes v2	PH1028	2265	Heart Failure (fatal/non-fatal)
