concept_id	concept_history_id	concept_history_date	component_id	component_history_id	logical_type	codelist_id	codelist_history_id	id	code	description	attributes.Entity.type	attributes.Coding.System..OXMIS.Read.	attributes.Category	concept_version_id	concept_name	coding_system.id	coding_system.name	coding_system.description	phenotype_id	phenotype_version_id	phenotype_name
2044	5226	2021-10-06T16:27:43.311303Z	2248	2935	1	2248	2881	125062	G234.00	Hyperten heart&renal dis+both(congestv)heart and renal fail	res26: HF	Read	diagnostic	5226	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH631	1262	Heart Failure
2044	5226	2021-10-06T16:27:43.311303Z	2248	2935	1	2248	2881	125043	G580.12	Right heart failure	res26: HF	Read	diagnostic	5226	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH631	1262	Heart Failure
2044	5226	2021-10-06T16:27:43.311303Z	2248	2935	1	2248	2881	125045	1O1..00	Heart failure confirmed	res26: HF	Read	diagnostic	5226	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH631	1262	Heart Failure
2044	5226	2021-10-06T16:27:43.311303Z	2248	2935	1	2248	2881	125041	G580.13	Right ventricular failure	res26: HF	Read	diagnostic	5226	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH631	1262	Heart Failure
2044	5226	2021-10-06T16:27:43.311303Z	2248	2935	1	2248	2881	125063	G580.00	Congestive heart failure	res26: HF	Read	diagnostic	5226	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH631	1262	Heart Failure
2044	5226	2021-10-06T16:27:43.311303Z	2248	2935	1	2248	2881	125050	G581.13	Impaired left ventricular function	res26: HF	Read	diagnostic	5226	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH631	1262	Heart Failure
2044	5226	2021-10-06T16:27:43.311303Z	2248	2935	1	2248	2881	125040	G580300	Compensated cardiac failure	res26: HF	Read	diagnostic	5226	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH631	1262	Heart Failure
2044	5226	2021-10-06T16:27:43.311303Z	2248	2935	1	2248	2881	125042	G58..00	Heart failure	res26: HF	Read	diagnostic	5226	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH631	1262	Heart Failure
2044	5226	2021-10-06T16:27:43.311303Z	2248	2935	1	2248	2881	125059	G580100	Chronic congestive heart failure	res26: HF	Read	diagnostic	5226	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH631	1262	Heart Failure
2044	5226	2021-10-06T16:27:43.311303Z	2248	2935	1	2248	2881	125058	G581.12	Pulmonary oedema - acute	res26: HF	Read	diagnostic	5226	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH631	1262	Heart Failure
2044	5226	2021-10-06T16:27:43.311303Z	2248	2935	1	2248	2881	125055	Q48y100	Congenital cardiac failure	res26: HF	Read	diagnostic	5226	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH631	1262	Heart Failure
2044	5226	2021-10-06T16:27:43.311303Z	2248	2935	1	2248	2881	125052	G581.11	Asthma - cardiac	res26: HF	Read	diagnostic	5226	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH631	1262	Heart Failure
2044	5226	2021-10-06T16:27:43.311303Z	2248	2935	1	2248	2881	125044	G58..11	Cardiac failure	res26: HF	Read	diagnostic	5226	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH631	1262	Heart Failure
2044	5226	2021-10-06T16:27:43.311303Z	2248	2935	1	2248	2881	125053	G58z.12	Cardiac failure NOS	res26: HF	Read	diagnostic	5226	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH631	1262	Heart Failure
2044	5226	2021-10-06T16:27:43.311303Z	2248	2935	1	2248	2881	125046	G58z.00	Heart failure NOS	res26: HF	Read	diagnostic	5226	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH631	1262	Heart Failure
2044	5226	2021-10-06T16:27:43.311303Z	2248	2935	1	2248	2881	125049	G581000	Acute left ventricular failure	res26: HF	Read	diagnostic	5226	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH631	1262	Heart Failure
2044	5226	2021-10-06T16:27:43.311303Z	2248	2935	1	2248	2881	125060	G580200	Decompensated cardiac failure	res26: HF	Read	diagnostic	5226	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH631	1262	Heart Failure
2044	5226	2021-10-06T16:27:43.311303Z	2248	2935	1	2248	2881	125056	G232.00	Hypertensive heart&renal dis wth (congestive) heart failure	res26: HF	Read	diagnostic	5226	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH631	1262	Heart Failure
2044	5226	2021-10-06T16:27:43.311303Z	2248	2935	1	2248	2881	125047	G580.11	Congestive cardiac failure	res26: HF	Read	diagnostic	5226	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH631	1262	Heart Failure
2044	5226	2021-10-06T16:27:43.311303Z	2248	2935	1	2248	2881	125057	G580000	Acute congestive heart failure	res26: HF	Read	diagnostic	5226	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH631	1262	Heart Failure
2044	5226	2021-10-06T16:27:43.311303Z	2248	2935	1	2248	2881	125048	G580.14	Biventricular failure	res26: HF	Read	diagnostic	5226	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH631	1262	Heart Failure
2044	5226	2021-10-06T16:27:43.311303Z	2248	2935	1	2248	2881	125054	G1yz100	Rheumatic left ventricular failure	res26: HF	Read	diagnostic	5226	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH631	1262	Heart Failure
2044	5226	2021-10-06T16:27:43.311303Z	2248	2935	1	2248	2881	125064	G581.00	Left ventricular failure	res26: HF	Read	diagnostic	5226	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH631	1262	Heart Failure
2044	5226	2021-10-06T16:27:43.311303Z	2248	2935	1	2248	2881	125061	G582.00	Acute heart failure	res26: HF	Read	diagnostic	5226	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH631	1262	Heart Failure
2044	5226	2021-10-06T16:27:43.311303Z	2248	2935	1	2248	2881	125051	Q490.00	Neonatal cardiac failure	res26: HF	Read	diagnostic	5226	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH631	1262	Heart Failure
2045	5228	2021-10-06T16:27:43.826873Z	2249	2936	1	2249	2882	125077	4271H	HEART FAILURE LEFT-SIDED	res26: HF	OXMIS	diagnostic	5228	Heart Failure - Primary Care	15	OXMIS codes	OXMIS codes	PH631	1262	Heart Failure
