concept_id	concept_history_id	concept_history_date	component_id	component_history_id	logical_type	codelist_id	codelist_history_id	id	code	description	attributes.Category	attributes.Entity.type	attributes.Coding.System..ICD.9.	concept_version_id	concept_name	coding_system.id	coding_system.name	coding_system.description	phenotype_id	phenotype_version_id	phenotype_name
2018	5174	2021-10-06T16:26:44.895912Z	2222	2909	1	2222	2855	121065	410.22	Acute myocardial infarction of inferolateral wall, subsequent episode of care	diagnostic	myocardial infarction - icd9	ICD-9	5174	Myocardial Infarction - Primary Care	17	ICD9 codes	ICD9 codes	PH612	1224	Myocardial Infarction
2018	5174	2021-10-06T16:26:44.895912Z	2222	2909	1	2222	2855	121068	410.1	Acute myocardial infarction of other anterior wall, episode of care unspecified 	diagnostic	myocardial infarction - icd9	ICD-9	5174	Myocardial Infarction - Primary Care	17	ICD9 codes	ICD9 codes	PH612	1224	Myocardial Infarction
2018	5174	2021-10-06T16:26:44.895912Z	2222	2909	1	2222	2855	121089	410.9	Acute myocardial infarction of unspecified site, episode of care unspecified	diagnostic	myocardial infarction - icd9	ICD-9	5174	Myocardial Infarction - Primary Care	17	ICD9 codes	ICD9 codes	PH612	1224	Myocardial Infarction
2018	5174	2021-10-06T16:26:44.895912Z	2222	2909	1	2222	2855	121084	410.6	True posterior wall infarction, episode of care unspecified 	diagnostic	myocardial infarction - icd9	ICD-9	5174	Myocardial Infarction - Primary Care	17	ICD9 codes	ICD9 codes	PH612	1224	Myocardial Infarction
2018	5174	2021-10-06T16:26:44.895912Z	2222	2909	1	2222	2855	121082	410.51	Acute myocardial infarction of other lateral wall, initial episode of care	diagnostic	myocardial infarction - icd9	ICD-9	5174	Myocardial Infarction - Primary Care	17	ICD9 codes	ICD9 codes	PH612	1224	Myocardial Infarction
2018	5174	2021-10-06T16:26:44.895912Z	2222	2909	1	2222	2855	121078	410.4	Acute myocardial infarction of other inferior wall, episode of care unspecified	diagnostic	myocardial infarction - icd9	ICD-9	5174	Myocardial Infarction - Primary Care	17	ICD9 codes	ICD9 codes	PH612	1224	Myocardial Infarction
2018	5174	2021-10-06T16:26:44.895912Z	2222	2909	1	2222	2855	121071	410.2	Acute myocardial infarction of inferolateral wall, episode of care unspecified	diagnostic	myocardial infarction - icd9	ICD-9	5174	Myocardial Infarction - Primary Care	17	ICD9 codes	ICD9 codes	PH612	1224	Myocardial Infarction
2018	5174	2021-10-06T16:26:44.895912Z	2222	2909	1	2222	2855	121075	410.5	Acute myocardial infarction of other lateral wall, episode of care unspecified	diagnostic	myocardial infarction - icd9	ICD-9	5174	Myocardial Infarction - Primary Care	17	ICD9 codes	ICD9 codes	PH612	1224	Myocardial Infarction
2018	5174	2021-10-06T16:26:44.895912Z	2222	2909	1	2222	2855	121063	410.3	Acute myocardial infarction of inferoposterior wall, episode of care unspecified	diagnostic	myocardial infarction - icd9	ICD-9	5174	Myocardial Infarction - Primary Care	17	ICD9 codes	ICD9 codes	PH612	1224	Myocardial Infarction
2018	5174	2021-10-06T16:26:44.895912Z	2222	2909	1	2222	2855	121072	410.12	Acute myocardial infarction of other anterior wall, subsequent episode of care	diagnostic	myocardial infarction - icd9	ICD-9	5174	Myocardial Infarction - Primary Care	17	ICD9 codes	ICD9 codes	PH612	1224	Myocardial Infarction
2018	5174	2021-10-06T16:26:44.895912Z	2222	2909	1	2222	2855	121062	410.31	Acute myocardial infarction of inferoposterior wall, initial episode of care    	diagnostic	myocardial infarction - icd9	ICD-9	5174	Myocardial Infarction - Primary Care	17	ICD9 codes	ICD9 codes	PH612	1224	Myocardial Infarction
2018	5174	2021-10-06T16:26:44.895912Z	2222	2909	1	2222	2855	121083	410.62	True posterior wall infarction, subsequent episode of care 	diagnostic	myocardial infarction - icd9	ICD-9	5174	Myocardial Infarction - Primary Care	17	ICD9 codes	ICD9 codes	PH612	1224	Myocardial Infarction
2018	5174	2021-10-06T16:26:44.895912Z	2222	2909	1	2222	2855	121081	410.52	Acute myocardial infarction of other lateral wall, subsequent episode of care	diagnostic	myocardial infarction - icd9	ICD-9	5174	Myocardial Infarction - Primary Care	17	ICD9 codes	ICD9 codes	PH612	1224	Myocardial Infarction
2018	5174	2021-10-06T16:26:44.895912Z	2222	2909	1	2222	2855	121073	410.32	Acute myocardial infarction of inferoposterior wall, subsequent episode of care    	diagnostic	myocardial infarction - icd9	ICD-9	5174	Myocardial Infarction - Primary Care	17	ICD9 codes	ICD9 codes	PH612	1224	Myocardial Infarction
2018	5174	2021-10-06T16:26:44.895912Z	2222	2909	1	2222	2855	121080	410.7	Subendocardial infarction, episode of care unspecified	diagnostic	myocardial infarction - icd9	ICD-9	5174	Myocardial Infarction - Primary Care	17	ICD9 codes	ICD9 codes	PH612	1224	Myocardial Infarction
2018	5174	2021-10-06T16:26:44.895912Z	2222	2909	1	2222	2855	121086	410.82	Acute myocardial infarction of other specified sites, subsequent episode of care	diagnostic	myocardial infarction - icd9	ICD-9	5174	Myocardial Infarction - Primary Care	17	ICD9 codes	ICD9 codes	PH612	1224	Myocardial Infarction
2018	5174	2021-10-06T16:26:44.895912Z	2222	2909	1	2222	2855	121070	410.11	Acute myocardial infarction of other anterior wall, initial episode of care	diagnostic	myocardial infarction - icd9	ICD-9	5174	Myocardial Infarction - Primary Care	17	ICD9 codes	ICD9 codes	PH612	1224	Myocardial Infarction
2018	5174	2021-10-06T16:26:44.895912Z	2222	2909	1	2222	2855	121077	410.42	Acute myocardial infarction of other inferior wall, subsequent episode of care	diagnostic	myocardial infarction - icd9	ICD-9	5174	Myocardial Infarction - Primary Care	17	ICD9 codes	ICD9 codes	PH612	1224	Myocardial Infarction
2018	5174	2021-10-06T16:26:44.895912Z	2222	2909	1	2222	2855	121067	410.21	Acute myocardial infarction of inferolateral wall, initial episode of care	diagnostic	myocardial infarction - icd9	ICD-9	5174	Myocardial Infarction - Primary Care	17	ICD9 codes	ICD9 codes	PH612	1224	Myocardial Infarction
2018	5174	2021-10-06T16:26:44.895912Z	2222	2909	1	2222	2855	121066	410.0	Acute myocardial infarction of anterolateral wall, episode of care unspecified	diagnostic	myocardial infarction - icd9	ICD-9	5174	Myocardial Infarction - Primary Care	17	ICD9 codes	ICD9 codes	PH612	1224	Myocardial Infarction
2018	5174	2021-10-06T16:26:44.895912Z	2222	2909	1	2222	2855	121085	410.61	True posterior wall infarction, initial episode of care       	diagnostic	myocardial infarction - icd9	ICD-9	5174	Myocardial Infarction - Primary Care	17	ICD9 codes	ICD9 codes	PH612	1224	Myocardial Infarction
2018	5174	2021-10-06T16:26:44.895912Z	2222	2909	1	2222	2855	121087	410.81	Acute myocardial infarction of other specified sites, initial episode of care   	diagnostic	myocardial infarction - icd9	ICD-9	5174	Myocardial Infarction - Primary Care	17	ICD9 codes	ICD9 codes	PH612	1224	Myocardial Infarction
2018	5174	2021-10-06T16:26:44.895912Z	2222	2909	1	2222	2855	121064	410.01	Acute myocardial infarction of anterolateral wall, initial episode of care	diagnostic	myocardial infarction - icd9	ICD-9	5174	Myocardial Infarction - Primary Care	17	ICD9 codes	ICD9 codes	PH612	1224	Myocardial Infarction
2018	5174	2021-10-06T16:26:44.895912Z	2222	2909	1	2222	2855	121069	410.02	Acute myocardial infarction of anterolateral wall, subsequent episode of care	diagnostic	myocardial infarction - icd9	ICD-9	5174	Myocardial Infarction - Primary Care	17	ICD9 codes	ICD9 codes	PH612	1224	Myocardial Infarction
2018	5174	2021-10-06T16:26:44.895912Z	2222	2909	1	2222	2855	121091	410.92	Acute myocardial infarction of unspecified site, subsequent episode of care	diagnostic	myocardial infarction - icd9	ICD-9	5174	Myocardial Infarction - Primary Care	17	ICD9 codes	ICD9 codes	PH612	1224	Myocardial Infarction
2018	5174	2021-10-06T16:26:44.895912Z	2222	2909	1	2222	2855	121076	410.71	Subendocardial infarction, initial episode of care	diagnostic	myocardial infarction - icd9	ICD-9	5174	Myocardial Infarction - Primary Care	17	ICD9 codes	ICD9 codes	PH612	1224	Myocardial Infarction
2018	5174	2021-10-06T16:26:44.895912Z	2222	2909	1	2222	2855	121079	410.41	 Acute myocardial infarction of other inferior wall, initial episode of care 	diagnostic	myocardial infarction - icd9	ICD-9	5174	Myocardial Infarction - Primary Care	17	ICD9 codes	ICD9 codes	PH612	1224	Myocardial Infarction
2018	5174	2021-10-06T16:26:44.895912Z	2222	2909	1	2222	2855	121088	410.8	Acute myocardial infarction of other specified sites, episode of care unspecified	diagnostic	myocardial infarction - icd9	ICD-9	5174	Myocardial Infarction - Primary Care	17	ICD9 codes	ICD9 codes	PH612	1224	Myocardial Infarction
2018	5174	2021-10-06T16:26:44.895912Z	2222	2909	1	2222	2855	121090	410.91	Acute myocardial infarction of unspecified site, initial episode of care	diagnostic	myocardial infarction - icd9	ICD-9	5174	Myocardial Infarction - Primary Care	17	ICD9 codes	ICD9 codes	PH612	1224	Myocardial Infarction
2018	5174	2021-10-06T16:26:44.895912Z	2222	2909	1	2222	2855	121074	410.72	Subendocardial infarction, subsequent episode of care	diagnostic	myocardial infarction - icd9	ICD-9	5174	Myocardial Infarction - Primary Care	17	ICD9 codes	ICD9 codes	PH612	1224	Myocardial Infarction
