concept_id	concept_history_id	concept_history_date	component_id	component_history_id	logical_type	codelist_id	codelist_history_id	id	code	description	attributes.Entity.type	attributes.Coding.System..OXMIS.Read.	attributes.Category	concept_version_id	concept_name	coding_system.id	coding_system.name	coding_system.description	phenotype_id	phenotype_version_id	phenotype_name
1914	4966	2021-10-06T16:23:56.457976Z	2118	2805	1	2118	2751	113338	1O1..00	Heart failure confirmed	res21: HF	Read	diagnostic	4966	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH531	1062	Heart Failure
1914	4966	2021-10-06T16:23:56.457976Z	2118	2805	1	2118	2751	113351	G580100	Chronic congestive heart failure	res21: HF	Read	diagnostic	4966	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH531	1062	Heart Failure
1914	4966	2021-10-06T16:23:56.457976Z	2118	2805	1	2118	2751	113345	G580200	Decompensated cardiac failure	res21: HF	Read	diagnostic	4966	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH531	1062	Heart Failure
1914	4966	2021-10-06T16:23:56.457976Z	2118	2805	1	2118	2751	113357	G58z.12	Cardiac failure NOS	res21: HF	Read	diagnostic	4966	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH531	1062	Heart Failure
1914	4966	2021-10-06T16:23:56.457976Z	2118	2805	1	2118	2751	113355	G581000	Acute left ventricular failure	res21: HF	Read	diagnostic	4966	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH531	1062	Heart Failure
1914	4966	2021-10-06T16:23:56.457976Z	2118	2805	1	2118	2751	113362	G234.00	Hyperten heart&renal dis+both(congestv)heart and renal fail	res21: HF	Read	diagnostic	4966	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH531	1062	Heart Failure
1914	4966	2021-10-06T16:23:56.457976Z	2118	2805	1	2118	2751	113341	G58z.00	Heart failure NOS	res21: HF	Read	diagnostic	4966	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH531	1062	Heart Failure
1914	4966	2021-10-06T16:23:56.457976Z	2118	2805	1	2118	2751	113339	G580.14	Biventricular failure	res21: HF	Read	diagnostic	4966	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH531	1062	Heart Failure
1914	4966	2021-10-06T16:23:56.457976Z	2118	2805	1	2118	2751	113347	Q48y100	Congenital cardiac failure	res21: HF	Read	diagnostic	4966	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH531	1062	Heart Failure
1914	4966	2021-10-06T16:23:56.457976Z	2118	2805	1	2118	2751	113359	G581.11	Asthma - cardiac	res21: HF	Read	diagnostic	4966	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH531	1062	Heart Failure
1914	4966	2021-10-06T16:23:56.457976Z	2118	2805	1	2118	2751	113354	G580.11	Congestive cardiac failure	res21: HF	Read	diagnostic	4966	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH531	1062	Heart Failure
1914	4966	2021-10-06T16:23:56.457976Z	2118	2805	1	2118	2751	113350	G581.12	Pulmonary oedema - acute	res21: HF	Read	diagnostic	4966	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH531	1062	Heart Failure
1914	4966	2021-10-06T16:23:56.457976Z	2118	2805	1	2118	2751	113348	Q490.00	Neonatal cardiac failure	res21: HF	Read	diagnostic	4966	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH531	1062	Heart Failure
1914	4966	2021-10-06T16:23:56.457976Z	2118	2805	1	2118	2751	113358	G232.00	Hypertensive heart&renal dis wth (congestive) heart failure	res21: HF	Read	diagnostic	4966	Heart Failure - Primary Care	5	Read codes v2	Read codes v2	PH531	1062	Heart Failure
