concept_id	concept_history_id	concept_history_date	component_id	component_history_id	logical_type	codelist_id	codelist_history_id	id	code	description	attributes.terminology	attributes.code_type	attributes.Category	attributes.Phenotype	concept_version_id	concept_name	coding_system.id	coding_system.name	coding_system.description	phenotype_id	phenotype_version_id	phenotype_name
2769	7290	2022-05-17T21:18:14.805223Z	3286	4374	1	3286	4318	214120	O90.3	Cardiomyopathy in the puerperium	ICD10	1			7290	CCU002_01 Cardiomyopathy - Phenotypes - England hospitalization EHR: Cardiomyopathy	4	ICD10 codes	ICD10 Codes	PH961	2139	CCU002_01 Cardiomyopathy
2769	7290	2022-05-17T21:18:14.805223Z	3286	4374	1	3286	4318	214119	I43	Cardiomyopathy in diseases classified elsewhere	ICD10	1			7290	CCU002_01 Cardiomyopathy - Phenotypes - England hospitalization EHR: Cardiomyopathy	4	ICD10 codes	ICD10 Codes	PH961	2139	CCU002_01 Cardiomyopathy
2769	7290	2022-05-17T21:18:14.805223Z	3286	4374	1	3286	4318	214127	I42.5	Other restrictive cardiomyopathy	ICD10	1			7290	CCU002_01 Cardiomyopathy - Phenotypes - England hospitalization EHR: Cardiomyopathy	4	ICD10 codes	ICD10 Codes	PH961	2139	CCU002_01 Cardiomyopathy
2769	7290	2022-05-17T21:18:14.805223Z	3286	4374	1	3286	4318	214126	I25.5	Ischaemic cardiomyopathy	ICD10	1			7290	CCU002_01 Cardiomyopathy - Phenotypes - England hospitalization EHR: Cardiomyopathy	4	ICD10 codes	ICD10 Codes	PH961	2139	CCU002_01 Cardiomyopathy
2769	7290	2022-05-17T21:18:14.805223Z	3286	4374	1	3286	4318	214122	I42.0	Dilated cardiomyopathy	ICD10	1			7290	CCU002_01 Cardiomyopathy - Phenotypes - England hospitalization EHR: Cardiomyopathy	4	ICD10 codes	ICD10 Codes	PH961	2139	CCU002_01 Cardiomyopathy
2769	7290	2022-05-17T21:18:14.805223Z	3286	4374	1	3286	4318	214124	I42.7	Cardiomyopathy due to drugs and other external agents	ICD10	1			7290	CCU002_01 Cardiomyopathy - Phenotypes - England hospitalization EHR: Cardiomyopathy	4	ICD10 codes	ICD10 Codes	PH961	2139	CCU002_01 Cardiomyopathy
2769	7290	2022-05-17T21:18:14.805223Z	3286	4374	1	3286	4318	214121	I42.9	Cardiomyopathy, unspecified	ICD10	1			7290	CCU002_01 Cardiomyopathy - Phenotypes - England hospitalization EHR: Cardiomyopathy	4	ICD10 codes	ICD10 Codes	PH961	2139	CCU002_01 Cardiomyopathy
2769	7290	2022-05-17T21:18:14.805223Z	3286	4374	1	3286	4318	214125	I42.3	Endomyocardial (eosinophilic) disease	ICD10	1			7290	CCU002_01 Cardiomyopathy - Phenotypes - England hospitalization EHR: Cardiomyopathy	4	ICD10 codes	ICD10 Codes	PH961	2139	CCU002_01 Cardiomyopathy
2769	7290	2022-05-17T21:18:14.805223Z	3286	4374	1	3286	4318	214123	I42.8	Other cardiomyopathies	ICD10	1			7290	CCU002_01 Cardiomyopathy - Phenotypes - England hospitalization EHR: Cardiomyopathy	4	ICD10 codes	ICD10 Codes	PH961	2139	CCU002_01 Cardiomyopathy
2770	7291	2022-05-17T21:18:15.294560Z	3287	4376	1	3287	4320	214129	240077004	Severe scapuloperoneal muscular dystrophy with cardiomyopathy (disorder)	SNOMEDCT	1			7291	CCU002_01 Cardiomyopathy - Phenotypes - England primary care EHR: Cardiomyopathy	9	SNOMED  CT codes	SNOMED CT codes	PH961	2139	CCU002_01 Cardiomyopathy
2770	7291	2022-05-17T21:18:15.294560Z	3287	4376	1	3287	4320	214130	240072005	Benign scapuloperoneal muscular dystrophy with cardiomyopathy (disorder)	SNOMEDCT	1			7291	CCU002_01 Cardiomyopathy - Phenotypes - England primary care EHR: Cardiomyopathy	9	SNOMED  CT codes	SNOMED CT codes	PH961	2139	CCU002_01 Cardiomyopathy
2770	7291	2022-05-17T21:18:15.294560Z	3287	4376	1	3287	4320	214128	1321241000000105	Cardiomyopathy caused by severe acute respiratory syndrome coronavirus 2 (disorder)	SNOMEDCT	1			7291	CCU002_01 Cardiomyopathy - Phenotypes - England primary care EHR: Cardiomyopathy	9	SNOMED  CT codes	SNOMED CT codes	PH961	2139	CCU002_01 Cardiomyopathy
2771	7292	2022-05-17T21:18:16.113116Z	3288	4378	1	3288	4322	214140	G5542	Familial cardiomyopathy                                                                                                                                                                                                                                        			Diagnosis of Other Cardiomyopathy                 	CARDIOMYOPATHY	7292	CCU002_01 Cardiomyopathy - Phenotypes - Wales primary care EHR: Cardiomyopathy	5	Read codes v2	Read codes v2	PH961	2139	CCU002_01 Cardiomyopathy
2771	7292	2022-05-17T21:18:16.113116Z	3288	4378	1	3288	4322	214155	G55A.	Tachycardiomyopathy                                                                                                                                                                                                                                            			Diagnosis of Other Cardiomyopathy                 	CARDIOMYOPATHY	7292	CCU002_01 Cardiomyopathy - Phenotypes - Wales primary care EHR: Cardiomyopathy	5	Read codes v2	Read codes v2	PH961	2139	CCU002_01 Cardiomyopathy
2771	7292	2022-05-17T21:18:16.113116Z	3288	4378	1	3288	4322	214148	G558.	Cardiomyopathy in disease EC                                                                                                                                                                                                                                   			Diagnosis of Other Cardiomyopathy                 	CARDIOMYOPATHY	7292	CCU002_01 Cardiomyopathy - Phenotypes - Wales primary care EHR: Cardiomyopathy	5	Read codes v2	Read codes v2	PH961	2139	CCU002_01 Cardiomyopathy
2771	7292	2022-05-17T21:18:16.113116Z	3288	4378	1	3288	4322	214139	G5541	Constrictive cardiomyopathy                                                                                                                                                                                                                                    			Diagnosis of Other Cardiomyopathy                 	CARDIOMYOPATHY	7292	CCU002_01 Cardiomyopathy - Phenotypes - Wales primary care EHR: Cardiomyopathy	5	Read codes v2	Read codes v2	PH961	2139	CCU002_01 Cardiomyopathy
2771	7292	2022-05-17T21:18:16.113116Z	3288	4378	1	3288	4322	214135	G55..	Cardiomyopathy                                                                                                                                                                                                                                                 			Diagnosis of Other Cardiomyopathy                 	CARDIOMYOPATHY	7292	CCU002_01 Cardiomyopathy - Phenotypes - Wales primary care EHR: Cardiomyopathy	5	Read codes v2	Read codes v2	PH961	2139	CCU002_01 Cardiomyopathy
2771	7292	2022-05-17T21:18:16.113116Z	3288	4378	1	3288	4322	214156	G55y.	Secondary cardiomyopathy NOS                                                                                                                                                                                                                                   			Diagnosis of Other Cardiomyopathy                 	CARDIOMYOPATHY	7292	CCU002_01 Cardiomyopathy - Phenotypes - Wales primary care EHR: Cardiomyopathy	5	Read codes v2	Read codes v2	PH961	2139	CCU002_01 Cardiomyopathy
2771	7292	2022-05-17T21:18:16.113116Z	3288	4378	1	3288	4322	214151	G5582	Dystrophic cardiomyopathy                                                                                                                                                                                                                                      			Diagnosis of Other Cardiomyopathy                 	CARDIOMYOPATHY	7292	CCU002_01 Cardiomyopathy - Phenotypes - Wales primary care EHR: Cardiomyopathy	5	Read codes v2	Read codes v2	PH961	2139	CCU002_01 Cardiomyopathy
