concept_id	concept_history_id	concept_history_date	component_id	component_history_id	logical_type	codelist_id	codelist_history_id	id	code	description	attributes.terminology	attributes.code_type	concept_version_id	concept_name	coding_system.id	coding_system.name	coding_system.description	phenotype_id	phenotype_version_id	phenotype_name
2842	7363	2022-05-17T21:20:54.771791Z	3359	4520	1	3359	4464	217336	I24.1	Dressler's syndrome	ICD10	1.0	7363	CCU002_02 Acute Myocardial Infarction (AMI) - Phenotypes - England hospitalization EHR: MI diagnosis	4	ICD10 codes	ICD10 Codes	PH988	2166	CCU002_02 Acute Myocardial Infarction (AMI)
2842	7363	2022-05-17T21:20:54.771791Z	3359	4520	1	3359	4464	217335	I23	Certain current complications following acute myocardial infarction	ICD10	1.0	7363	CCU002_02 Acute Myocardial Infarction (AMI) - Phenotypes - England hospitalization EHR: MI diagnosis	4	ICD10 codes	ICD10 Codes	PH988	2166	CCU002_02 Acute Myocardial Infarction (AMI)
2842	7363	2022-05-17T21:20:54.771791Z	3359	4520	1	3359	4464	217333	I21	Acute myocardial infarction	ICD10	1.0	7363	CCU002_02 Acute Myocardial Infarction (AMI) - Phenotypes - England hospitalization EHR: MI diagnosis	4	ICD10 codes	ICD10 Codes	PH988	2166	CCU002_02 Acute Myocardial Infarction (AMI)
2842	7363	2022-05-17T21:20:54.771791Z	3359	4520	1	3359	4464	217332	I25.2	Old myocardial infarction	ICD10	0.0	7363	CCU002_02 Acute Myocardial Infarction (AMI) - Phenotypes - England hospitalization EHR: MI diagnosis	4	ICD10 codes	ICD10 Codes	PH988	2166	CCU002_02 Acute Myocardial Infarction (AMI)
2842	7363	2022-05-17T21:20:54.771791Z	3359	4520	1	3359	4464	217334	I22	Subsequent myocardial infarction	ICD10	1.0	7363	CCU002_02 Acute Myocardial Infarction (AMI) - Phenotypes - England hospitalization EHR: MI diagnosis	4	ICD10 codes	ICD10 Codes	PH988	2166	CCU002_02 Acute Myocardial Infarction (AMI)
2843	7364	2022-05-17T21:20:56.147075Z	3360	4522	1	3360	4466	217388	15712921000119103	Acute ST segment elevation myocardial infarction of lateral wall (disorder)	SNOMEDCT	1.0	7364	CCU002_02 Acute Myocardial Infarction (AMI) - Phenotypes - England primary care EHR: MI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH988	2166	CCU002_02 Acute Myocardial Infarction (AMI)
2843	7364	2022-05-17T21:20:56.147075Z	3360	4522	1	3360	4466	217390	233826005	Acute non-Q wave infarction - anteroseptal (disorder)	SNOMEDCT	1.0	7364	CCU002_02 Acute Myocardial Infarction (AMI) - Phenotypes - England primary care EHR: MI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH988	2166	CCU002_02 Acute Myocardial Infarction (AMI)
2843	7364	2022-05-17T21:20:56.147075Z	3360	4522	1	3360	4466	217347	65547006	Acute myocardial infarction of inferolateral wall	SNOMEDCT	1.0	7364	CCU002_02 Acute Myocardial Infarction (AMI) - Phenotypes - England primary care EHR: MI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH988	2166	CCU002_02 Acute Myocardial Infarction (AMI)
2843	7364	2022-05-17T21:20:56.147075Z	3360	4522	1	3360	4466	217411	703360004	Subsequent non-ST segment elevation myocardial infarction (disorder)	SNOMEDCT	1.0	7364	CCU002_02 Acute Myocardial Infarction (AMI) - Phenotypes - England primary care EHR: MI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH988	2166	CCU002_02 Acute Myocardial Infarction (AMI)
2843	7364	2022-05-17T21:20:56.147075Z	3360	4522	1	3360	4466	217366	194867006	Rupture of papillary muscle as current complication following acute myocardial infarction	SNOMEDCT	1.0	7364	CCU002_02 Acute Myocardial Infarction (AMI) - Phenotypes - England primary care EHR: MI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH988	2166	CCU002_02 Acute Myocardial Infarction (AMI)
2843	7364	2022-05-17T21:20:56.147075Z	3360	4522	1	3360	4466	217359	194856005	Subsequent myocardial infarction	SNOMEDCT	1.0	7364	CCU002_02 Acute Myocardial Infarction (AMI) - Phenotypes - England primary care EHR: MI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH988	2166	CCU002_02 Acute Myocardial Infarction (AMI)
