concept_id	concept_history_id	concept_history_date	component_id	component_history_id	logical_type	codelist_id	codelist_history_id	id	code	description	attributes.terminology	attributes.code_type	attributes.Category	attributes.Phenotype	concept_version_id	concept_name	coding_system.id	coding_system.name	coding_system.description	phenotype_id	phenotype_version_id	phenotype_name
2739	7260	2022-05-17T21:16:22.666497Z	3256	4314	1	3256	4258	209564	I23	Certain current complications following acute myocardial infarction	ICD10	1			7260	CCU002_01 Acute myocardial infarction - Phenotypes - England hospitalization EHR: AMI diagnosis	4	ICD10 codes	ICD10 Codes	PH949	2127	CCU002_01 Acute myocardial infarction
2739	7260	2022-05-17T21:16:22.666497Z	3256	4314	1	3256	4258	209562	I21	Acute myocardial infarction	ICD10	1			7260	CCU002_01 Acute myocardial infarction - Phenotypes - England hospitalization EHR: AMI diagnosis	4	ICD10 codes	ICD10 Codes	PH949	2127	CCU002_01 Acute myocardial infarction
2739	7260	2022-05-17T21:16:22.666497Z	3256	4314	1	3256	4258	209563	I22	Subsequent myocardial infarction	ICD10	1			7260	CCU002_01 Acute myocardial infarction - Phenotypes - England hospitalization EHR: AMI diagnosis	4	ICD10 codes	ICD10 Codes	PH949	2127	CCU002_01 Acute myocardial infarction
2740	7261	2022-05-17T21:16:24.079387Z	3257	4316	1	3257	4260	209578	70422006	Acute subendocardial infarction	SNOMEDCT	1			7261	CCU002_01 Acute myocardial infarction - Phenotypes - England primary care EHR: AMI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH949	2127	CCU002_01 Acute myocardial infarction
2740	7261	2022-05-17T21:16:24.079387Z	3257	4316	1	3257	4260	209637	703209002	Subsequent ST segment elevation myocardial infarction of inferior wall (disorder)	SNOMEDCT	1			7261	CCU002_01 Acute myocardial infarction - Phenotypes - England primary care EHR: AMI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH949	2127	CCU002_01 Acute myocardial infarction
2740	7261	2022-05-17T21:16:24.079387Z	3257	4316	1	3257	4260	209636	703164000	Acute ST segment elevation myocardial infarction of anterior wall (disorder)	SNOMEDCT	1			7261	CCU002_01 Acute myocardial infarction - Phenotypes - England primary care EHR: AMI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH949	2127	CCU002_01 Acute myocardial infarction
2740	7261	2022-05-17T21:16:24.079387Z	3257	4316	1	3257	4260	209601	307140009	Acute non-Q wave infarction	SNOMEDCT	1			7261	CCU002_01 Acute myocardial infarction - Phenotypes - England primary care EHR: AMI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH949	2127	CCU002_01 Acute myocardial infarction
2740	7261	2022-05-17T21:16:24.079387Z	3257	4316	1	3257	4260	209571	54329005	Acute myocardial infarction of anterior wall	SNOMEDCT	1			7261	CCU002_01 Acute myocardial infarction - Phenotypes - England primary care EHR: AMI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH949	2127	CCU002_01 Acute myocardial infarction
2740	7261	2022-05-17T21:16:24.079387Z	3257	4316	1	3257	4260	209568	22298006	Myocardial infarction	SNOMEDCT	1			7261	CCU002_01 Acute myocardial infarction - Phenotypes - England primary care EHR: AMI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH949	2127	CCU002_01 Acute myocardial infarction
2740	7261	2022-05-17T21:16:24.079387Z	3257	4316	1	3257	4260	209599	233847009	Cardiac rupture after acute myocardial infarction	SNOMEDCT	1			7261	CCU002_01 Acute myocardial infarction - Phenotypes - England primary care EHR: AMI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH949	2127	CCU002_01 Acute myocardial infarction
2740	7261	2022-05-17T21:16:24.079387Z	3257	4316	1	3257	4260	209581	79009004	Acute myocardial infarction of septum	SNOMEDCT	1			7261	CCU002_01 Acute myocardial infarction - Phenotypes - England primary care EHR: AMI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH949	2127	CCU002_01 Acute myocardial infarction
2740	7261	2022-05-17T21:16:24.079387Z	3257	4316	1	3257	4260	209621	394659003	Acute coronary syndrome (disorder)	SNOMEDCT	1			7261	CCU002_01 Acute myocardial infarction - Phenotypes - England primary care EHR: AMI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH949	2127	CCU002_01 Acute myocardial infarction
2740	7261	2022-05-17T21:16:24.079387Z	3257	4316	1	3257	4260	209613	428752002	Recent myocardial infarction (situation)	SNOMEDCT	1			7261	CCU002_01 Acute myocardial infarction - Phenotypes - England primary care EHR: AMI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH949	2127	CCU002_01 Acute myocardial infarction
2740	7261	2022-05-17T21:16:24.079387Z	3257	4316	1	3257	4260	209612	401314000	Acute non-ST segment elevation myocardial infarction (disorder)	SNOMEDCT	1			7261	CCU002_01 Acute myocardial infarction - Phenotypes - England primary care EHR: AMI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH949	2127	CCU002_01 Acute myocardial infarction
2740	7261	2022-05-17T21:16:24.079387Z	3257	4316	1	3257	4260	209633	233834004	Acute non-Q wave infarction - lateral (disorder)	SNOMEDCT	1			7261	CCU002_01 Acute myocardial infarction - Phenotypes - England primary care EHR: AMI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH949	2127	CCU002_01 Acute myocardial infarction
2740	7261	2022-05-17T21:16:24.079387Z	3257	4316	1	3257	4260	209618	233826005	Acute non-Q wave infarction - anteroseptal (disorder)	SNOMEDCT	1			7261	CCU002_01 Acute myocardial infarction - Phenotypes - England primary care EHR: AMI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH949	2127	CCU002_01 Acute myocardial infarction
2740	7261	2022-05-17T21:16:24.079387Z	3257	4316	1	3257	4260	209573	58612006	Acute myocardial infarction of lateral wall	SNOMEDCT	1			7261	CCU002_01 Acute myocardial infarction - Phenotypes - England primary care EHR: AMI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH949	2127	CCU002_01 Acute myocardial infarction
2740	7261	2022-05-17T21:16:24.079387Z	3257	4316	1	3257	4260	209597	233843008	Silent myocardial infarction	SNOMEDCT	0			7261	CCU002_01 Acute myocardial infarction - Phenotypes - England primary care EHR: AMI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH949	2127	CCU002_01 Acute myocardial infarction
2740	7261	2022-05-17T21:16:24.079387Z	3257	4316	1	3257	4260	209638	703211006	Subsequent ST segment elevation myocardial infarction (disorder)	SNOMEDCT	1			7261	CCU002_01 Acute myocardial infarction - Phenotypes - England primary care EHR: AMI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH949	2127	CCU002_01 Acute myocardial infarction
2740	7261	2022-05-17T21:16:24.079387Z	3257	4316	1	3257	4260	209607	315287002	Diabetes mellitus insulin-glucose infusion in acute myocardial infarction	SNOMEDCT	1			7261	CCU002_01 Acute myocardial infarction - Phenotypes - England primary care EHR: AMI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH949	2127	CCU002_01 Acute myocardial infarction
2740	7261	2022-05-17T21:16:24.079387Z	3257	4316	1	3257	4260	209634	233835003	Acute widespread myocardial infarction (disorder)	SNOMEDCT	1			7261	CCU002_01 Acute myocardial infarction - Phenotypes - England primary care EHR: AMI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH949	2127	CCU002_01 Acute myocardial infarction
2740	7261	2022-05-17T21:16:24.079387Z	3257	4316	1	3257	4260	209588	194857001	Subsequent myocardial infarction of anterior wall	SNOMEDCT	1			7261	CCU002_01 Acute myocardial infarction - Phenotypes - England primary care EHR: AMI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH949	2127	CCU002_01 Acute myocardial infarction
2740	7261	2022-05-17T21:16:24.079387Z	3257	4316	1	3257	4260	209566	10273003	Acute infarction of papillary muscle	SNOMEDCT	1			7261	CCU002_01 Acute myocardial infarction - Phenotypes - England primary care EHR: AMI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH949	2127	CCU002_01 Acute myocardial infarction
2740	7261	2022-05-17T21:16:24.079387Z	3257	4316	1	3257	4260	209630	233830008	Acute non-Q wave infarction - inferior (disorder)	SNOMEDCT	1			7261	CCU002_01 Acute myocardial infarction - Phenotypes - England primary care EHR: AMI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH949	2127	CCU002_01 Acute myocardial infarction
2740	7261	2022-05-17T21:16:24.079387Z	3257	4316	1	3257	4260	209600	304914007	Acute Q wave myocardial infarction	SNOMEDCT	1			7261	CCU002_01 Acute myocardial infarction - Phenotypes - England primary care EHR: AMI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH949	2127	CCU002_01 Acute myocardial infarction
2740	7261	2022-05-17T21:16:24.079387Z	3257	4316	1	3257	4260	209589	194858006	Subsequent myocardial infarction of inferior wall	SNOMEDCT	1			7261	CCU002_01 Acute myocardial infarction - Phenotypes - England primary care EHR: AMI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH949	2127	CCU002_01 Acute myocardial infarction
