concept_id	concept_history_id	concept_history_date	component_id	component_history_id	logical_type	codelist_id	codelist_history_id	id	code	description	attributes.Entity.type	attributes.Category	attributes.Coding.System..Read.	concept_version_id	concept_name	coding_system.id	coding_system.name	coding_system.description	phenotype_id	phenotype_version_id	phenotype_name
1685	4508	2021-10-06T16:15:30.631923Z	1889	2576	1	1889	2522	80571	G30..13	Cardiac rupture following myocardial infarction (MI)	res12: Myocardial_infarction	diagnostic	Read	4508	Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH356	712	Myocardial Infarction
1685	4508	2021-10-06T16:15:30.631923Z	1889	2576	1	1889	2522	80572	G305.00	Lateral myocardial infarction NOS	res12: Myocardial_infarction	diagnostic	Read	4508	Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH356	712	Myocardial Infarction
1685	4508	2021-10-06T16:15:30.631923Z	1889	2576	1	1889	2522	80574	G351.00	Subsequent myocardial infarction of inferior wall	res12: Myocardial_infarction	diagnostic	Read	4508	Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH356	712	Myocardial Infarction
1685	4508	2021-10-06T16:15:30.631923Z	1889	2576	1	1889	2522	80598	G30..17	Silent myocardial infarction	res12: Myocardial_infarction	diagnostic	Read	4508	Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH356	712	Myocardial Infarction
1685	4508	2021-10-06T16:15:30.631923Z	1889	2576	1	1889	2522	80581	G35..00	Subsequent myocardial infarction	res12: Myocardial_infarction	diagnostic	Read	4508	Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH356	712	Myocardial Infarction
1685	4508	2021-10-06T16:15:30.631923Z	1889	2576	1	1889	2522	80578	G30B.00	Acute posterolateral myocardial infarction	res12: Myocardial_infarction	diagnostic	Read	4508	Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH356	712	Myocardial Infarction
1685	4508	2021-10-06T16:15:30.631923Z	1889	2576	1	1889	2522	80563	G30..00	Acute myocardial infarction	res12: Myocardial_infarction	diagnostic	Read	4508	Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH356	712	Myocardial Infarction
1685	4508	2021-10-06T16:15:30.631923Z	1889	2576	1	1889	2522	80558	323Z.00	ECG: myocardial infarct NOS	res12: Myocardial_infarction	diagnostic	Read	4508	Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH356	712	Myocardial Infarction
1685	4508	2021-10-06T16:15:30.631923Z	1889	2576	1	1889	2522	80592	G301z00	Anterior myocardial infarction NOS	res12: Myocardial_infarction	diagnostic	Read	4508	Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH356	712	Myocardial Infarction
1685	4508	2021-10-06T16:15:30.631923Z	1889	2576	1	1889	2522	80590	G300.00	Acute anterolateral infarction	res12: Myocardial_infarction	diagnostic	Read	4508	Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH356	712	Myocardial Infarction
1685	4508	2021-10-06T16:15:30.631923Z	1889	2576	1	1889	2522	80587	G38..00	Postoperative myocardial infarction	res12: Myocardial_infarction	diagnostic	Read	4508	Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH356	712	Myocardial Infarction
