concept_id	concept_history_id	concept_history_date	component_id	component_history_id	logical_type	codelist_id	codelist_history_id	id	code	description	attributes.Medcode	concept_version_id	concept_name	coding_system.id	coding_system.name	coding_system.description	phenotype_id	phenotype_version_id	phenotype_name
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300532	G580.13	Right ventricular failure	10154	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300474	4270R	HEART FAILURE RIGHT-SIDED	284055	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300518	G554000	Congestive cardiomyopathy	5141	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300488	8CeC.00	Preferred place of care for next exacerbation heart failure	105542	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300461	8Hk0.00	Referred to heart failure education group	71235	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300479	9N0k.00	Seen in heart failure clinic	12627	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300556	G5yyB00	Right ventricular diastolic dysfunction	104876	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300545	8HHz.00	Referral to heart failure exercise programme	70619	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300513	4270CC	CONGESTIVE HEART FAILURE COMPENSATED	211092	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300510	4271B	CARDIAC ASTHMA	238197	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300475	4270C	CONGESTIVE CARDIAC FAILURE	303794	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300455	7824FH	HEART FAILURE	305135	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300481	9hH..00	Exception reporting: heart failure quality indicators	90935	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300537	661M500	Heart failure self-management plan agreed	106198	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300558	7824AC	HEART FAILURE ACUTE	307227	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300476	G21z100	Hypertensive heart disease NOS with CCF	62718	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300522	9hH0.00	Excepted heart failure quality indicators: Patient unsuitabl	30749	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300482	425 CC	CONGESTIVE CARDIOMYOPATHY	306434	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300451	G580.14	Biventricular failure	9524	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300460	SP11200	Cardiorespiratory failure as a complication of care	63548	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300516	G583.12	Heart failure with preserved ejection fraction	106897	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300539	G1yz100	Rheumatic left ventricular failure	22262	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300549	G210100	Malignant hypertensive heart disease with CCF	72668	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300543	662h.00	New York Heart Association classification - class III	19066	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300528	8IE0.00	Referral to heart failure education group declined	107981	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300526	G58..11	Cardiac failure	1223	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300514	9N2p.00	Seen by community heart failure nurse	19002	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300527	G5yyC00	Diastolic dysfunction	104333	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300489	G234.00	Hyperten heart&renal dis+both(congestv)heart and renal fail	57987	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300519	G580.11	Congestive cardiac failure	2906	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300552	G580.12	Right heart failure	10079	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300490	14A6.00	H/O: heart failure	15058	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300499	9Or3.00	Heart failure monitoring first letter	72965	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300548	G584.00	Right ventricular failure	104275	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300531	9Or4.00	Heart failure monitoring second letter	72386	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300538	G232.00	Hypertensive heart&renal dis wth (congestive) heart failure	21837	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300536	1O1..00	Heart failure confirmed	9913	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300515	8H2S.00	Admit heart failure emergency	32898	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300473	9N4s.00	Did not attend practice nurse heart failure clinic	95021	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300503	4270.00	CONGESTIVE HEART FAILURE	303793	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300530	ZRad.00	New York Heart Assoc classification heart failure symptoms	26242	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
3323	10183	2023-02-13T16:27:42.237300Z	8862	10462	1	8862	10176	300491	SP11100	Cardiac insufficiency as a complication of care	68682	10183	Congestive heart failure Read codes - Charlson	5	Read codes v2	Read codes v2	PH1055	2313	Congestive heart failure - Charlson primary care
