concept_id	concept_history_id	concept_history_date	component_id	component_history_id	logical_type	codelist_id	codelist_history_id	id	code	description	attributes.terminology	attributes.code_type	concept_version_id	concept_name	coding_system.id	coding_system.name	coding_system.description	phenotype_id	phenotype_version_id	phenotype_name
2867	7388	2022-05-17T21:22:09.896746Z	3384	4570	1	3384	4514	219743	I42.8	Other cardiomyopathies	ICD10	1.0	7388	CCU002_02 Cardiomyopathy - Phenotypes - England hospitalization EHR: Cardiomyopathy diagnosis	4	ICD10 codes	ICD10 Codes	PH1002	2180	CCU002_02 Cardiomyopathy
2867	7388	2022-05-17T21:22:09.896746Z	3384	4570	1	3384	4514	219741	I42.5	Other restrictive cardiomyopathy	ICD10	1.0	7388	CCU002_02 Cardiomyopathy - Phenotypes - England hospitalization EHR: Cardiomyopathy diagnosis	4	ICD10 codes	ICD10 Codes	PH1002	2180	CCU002_02 Cardiomyopathy
2867	7388	2022-05-17T21:22:09.896746Z	3384	4570	1	3384	4514	219745	I43	Cardiomyopathy in diseases classified elsewhere	ICD10	1.0	7388	CCU002_02 Cardiomyopathy - Phenotypes - England hospitalization EHR: Cardiomyopathy diagnosis	4	ICD10 codes	ICD10 Codes	PH1002	2180	CCU002_02 Cardiomyopathy
2867	7388	2022-05-17T21:22:09.896746Z	3384	4570	1	3384	4514	219742	I42.7	Cardiomyopathy due to drugs and other external agents	ICD10	1.0	7388	CCU002_02 Cardiomyopathy - Phenotypes - England hospitalization EHR: Cardiomyopathy diagnosis	4	ICD10 codes	ICD10 Codes	PH1002	2180	CCU002_02 Cardiomyopathy
2867	7388	2022-05-17T21:22:09.896746Z	3384	4570	1	3384	4514	219738	I42.6	Alcoholic cardiomyopathy	ICD10	1.0	7388	CCU002_02 Cardiomyopathy - Phenotypes - England hospitalization EHR: Cardiomyopathy diagnosis	4	ICD10 codes	ICD10 Codes	PH1002	2180	CCU002_02 Cardiomyopathy
2867	7388	2022-05-17T21:22:09.896746Z	3384	4570	1	3384	4514	219744	I42.9	Cardiomyopathy, unspecified	ICD10	1.0	7388	CCU002_02 Cardiomyopathy - Phenotypes - England hospitalization EHR: Cardiomyopathy diagnosis	4	ICD10 codes	ICD10 Codes	PH1002	2180	CCU002_02 Cardiomyopathy
2867	7388	2022-05-17T21:22:09.896746Z	3384	4570	1	3384	4514	219740	I42.3	Endomyocardial (eosinophilic) disease	ICD10	1.0	7388	CCU002_02 Cardiomyopathy - Phenotypes - England hospitalization EHR: Cardiomyopathy diagnosis	4	ICD10 codes	ICD10 Codes	PH1002	2180	CCU002_02 Cardiomyopathy
2867	7388	2022-05-17T21:22:09.896746Z	3384	4570	1	3384	4514	219739	I25.5	Ischaemic cardiomyopathy	ICD10	1.0	7388	CCU002_02 Cardiomyopathy - Phenotypes - England hospitalization EHR: Cardiomyopathy diagnosis	4	ICD10 codes	ICD10 Codes	PH1002	2180	CCU002_02 Cardiomyopathy
2867	7388	2022-05-17T21:22:09.896746Z	3384	4570	1	3384	4514	219737	I42.0	Dilated cardiomyopathy	ICD10	1.0	7388	CCU002_02 Cardiomyopathy - Phenotypes - England hospitalization EHR: Cardiomyopathy diagnosis	4	ICD10 codes	ICD10 Codes	PH1002	2180	CCU002_02 Cardiomyopathy
2868	7389	2022-05-17T21:22:10.335928Z	3385	4572	1	3385	4516	219746	1321241000000105	Cardiomyopathy caused by severe acute respiratory syndrome coronavirus 2 (disorder)	SNOMEDCT	1.0	7389	CCU002_02 Cardiomyopathy - Phenotypes - England primary care EHR: Cardiomyopathy diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH1002	2180	CCU002_02 Cardiomyopathy
2868	7389	2022-05-17T21:22:10.335928Z	3385	4572	1	3385	4516	219748	240072005	Benign scapuloperoneal muscular dystrophy with cardiomyopathy (disorder)	SNOMEDCT	1.0	7389	CCU002_02 Cardiomyopathy - Phenotypes - England primary care EHR: Cardiomyopathy diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH1002	2180	CCU002_02 Cardiomyopathy
2868	7389	2022-05-17T21:22:10.335928Z	3385	4572	1	3385	4516	219747	240077004	Severe scapuloperoneal muscular dystrophy with cardiomyopathy (disorder)	SNOMEDCT	1.0	7389	CCU002_02 Cardiomyopathy - Phenotypes - England primary care EHR: Cardiomyopathy diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH1002	2180	CCU002_02 Cardiomyopathy
