concept_id	concept_history_id	concept_history_date	component_id	component_history_id	logical_type	codelist_id	codelist_history_id	id	code	description	attributes.Disease	attributes.Medcode	attributes.Category	attributes.ReadcodeDescr	attributes.Readcode	concept_version_id	concept_name	coding_system.id	coding_system.name	coding_system.description	phenotype_id	phenotype_version_id	phenotype_name
1099	3337	2021-10-06T16:04:55.678353Z	1303	1990	1	1303	1936	59644	G554000	Congestive cardiomyopathy	Dilated cardiomyopathy	5141	Diagnosis of Dilated cardiomyopathy			3337	Dilated cardiomyopathy - Primary care	5	Read codes v2	Read codes v2	PH145	290	Dilated cardiomyopathy
1099	3337	2021-10-06T16:04:55.678353Z	1303	1990	1	1303	1936	59647	G55y.11	Secondary dilated cardiomyopathy	Dilated cardiomyopathy	9402	Diagnosis of Dilated cardiomyopathy			3337	Dilated cardiomyopathy - Primary care	5	Read codes v2	Read codes v2	PH145	290	Dilated cardiomyopathy
1099	3337	2021-10-06T16:04:55.678353Z	1303	1990	1	1303	1936	59646	G555.00	Alcoholic cardiomyopathy	Dilated cardiomyopathy	4915	Diagnosis of Dilated cardiomyopathy			3337	Dilated cardiomyopathy - Primary care	5	Read codes v2	Read codes v2	PH145	290	Dilated cardiomyopathy
1099	3337	2021-10-06T16:04:55.678353Z	1303	1990	1	1303	1936	59645	G554400	Primary dilated cardiomyopathy	Dilated cardiomyopathy	7535	Diagnosis of Dilated cardiomyopathy			3337	Dilated cardiomyopathy - Primary care	5	Read codes v2	Read codes v2	PH145	290	Dilated cardiomyopathy
1100	3339	2021-10-06T16:04:56.017431Z	1304	1991	1	1304	1937	59651	9402	Diagnosis of Dilated cardiomyopathy	Dilated cardiomyopathy			Secondary dilated cardiomyopathy	G55y.11	3339	Dilated cardiomyopathy - Primary care	8	Med codes	Med codes	PH145	290	Dilated cardiomyopathy
1100	3339	2021-10-06T16:04:56.017431Z	1304	1991	1	1304	1937	59650	4915	Diagnosis of Dilated cardiomyopathy	Dilated cardiomyopathy			Alcoholic cardiomyopathy	G555.00	3339	Dilated cardiomyopathy - Primary care	8	Med codes	Med codes	PH145	290	Dilated cardiomyopathy
1100	3339	2021-10-06T16:04:56.017431Z	1304	1991	1	1304	1937	59648	5141	Diagnosis of Dilated cardiomyopathy	Dilated cardiomyopathy			Congestive cardiomyopathy	G554000	3339	Dilated cardiomyopathy - Primary care	8	Med codes	Med codes	PH145	290	Dilated cardiomyopathy
1100	3339	2021-10-06T16:04:56.017431Z	1304	1991	1	1304	1937	59649	7535	Diagnosis of Dilated cardiomyopathy	Dilated cardiomyopathy			Primary dilated cardiomyopathy	G554400	3339	Dilated cardiomyopathy - Primary care	8	Med codes	Med codes	PH145	290	Dilated cardiomyopathy
1101	3341	2021-10-06T16:04:56.339250Z	1305	1992	1	1305	1938	59653	I42.6	Alcoholic cardiomyopathy	Dilated cardiomyopathy		Diagnosis of Dilated cardiomyopathy			3341	Dilated cardiomyopathy - Secondary care - Diagnoses	4	ICD10 codes	ICD10 Codes	PH145	290	Dilated cardiomyopathy
1101	3341	2021-10-06T16:04:56.339250Z	1305	1992	1	1305	1938	59652	I42.0	Dilated cardiomyopathy	Dilated cardiomyopathy		Diagnosis of Dilated cardiomyopathy			3341	Dilated cardiomyopathy - Secondary care - Diagnoses	4	ICD10 codes	ICD10 Codes	PH145	290	Dilated cardiomyopathy
