concept_id	concept_history_id	concept_history_date	component_id	component_history_id	logical_type	codelist_id	codelist_history_id	id	code	description	attributes.terminology	attributes.code_type	concept_version_id	concept_name	coding_system.id	coding_system.name	coding_system.description	phenotype_id	phenotype_version_id	phenotype_name
2853	7374	2022-05-17T21:21:14.418809Z	3370	4542	1	3370	4486	217584	717191000000108	Heart failure monitoring second letter (procedure)	SNOMEDCT	1.0	7374	CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH993	2171	CCU002_02 Heart Failure (HF)
2853	7374	2022-05-17T21:21:14.418809Z	3370	4542	1	3370	4486	217583	716621000000101	Heart failure monitoring third letter (procedure)	SNOMEDCT	1.0	7374	CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH993	2171	CCU002_02 Heart Failure (HF)
2853	7374	2022-05-17T21:21:14.418809Z	3370	4542	1	3370	4486	217574	233924009	Heart failure as a complication of care (disorder)	SNOMEDCT	1.0	7374	CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH993	2171	CCU002_02 Heart Failure (HF)
2853	7374	2022-05-17T21:21:14.418809Z	3370	4542	1	3370	4486	217553	128404006	Right heart failure	SNOMEDCT	1.0	7374	CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH993	2171	CCU002_02 Heart Failure (HF)
2853	7374	2022-05-17T21:21:14.418809Z	3370	4542	1	3370	4486	217563	367363000	Right ventricular failure	SNOMEDCT	1.0	7374	CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH993	2171	CCU002_02 Heart Failure (HF)
2853	7374	2022-05-17T21:21:14.418809Z	3370	4542	1	3370	4486	217570	407596008	Echocardiogram shows left ventricular systolic dysfunction (finding)	SNOMEDCT	1.0	7374	CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH993	2171	CCU002_02 Heart Failure (HF)
2853	7374	2022-05-17T21:21:14.418809Z	3370	4542	1	3370	4486	217573	10335000	Chronic right-sided heart failure (disorder)	SNOMEDCT	1.0	7374	CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH993	2171	CCU002_02 Heart Failure (HF)
2853	7374	2022-05-17T21:21:14.418809Z	3370	4542	1	3370	4486	217569	426611007	Congestive heart failure due to valvular disease (disorder)	SNOMEDCT	1.0	7374	CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH993	2171	CCU002_02 Heart Failure (HF)
2853	7374	2022-05-17T21:21:14.418809Z	3370	4542	1	3370	4486	217559	195112003	Compensated cardiac failure	SNOMEDCT	1.0	7374	CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH993	2171	CCU002_02 Heart Failure (HF)
2853	7374	2022-05-17T21:21:14.418809Z	3370	4542	1	3370	4486	217560	195114002	Acute left ventricular failure	SNOMEDCT	1.0	7374	CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH993	2171	CCU002_02 Heart Failure (HF)
2853	7374	2022-05-17T21:21:14.418809Z	3370	4542	1	3370	4486	217578	703272007	Heart failure with reduced ejection fraction (disorder)	SNOMEDCT	1.0	7374	CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH993	2171	CCU002_02 Heart Failure (HF)
2853	7374	2022-05-17T21:21:14.418809Z	3370	4542	1	3370	4486	217546	79955004	Chronic cor pulmonale	SNOMEDCT	1.0	7374	CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH993	2171	CCU002_02 Heart Failure (HF)
2853	7374	2022-05-17T21:21:14.418809Z	3370	4542	1	3370	4486	217581	1110931000000103	Quality and Outcomes Framework heart failure quality indicator-related care invitation (procedure)	SNOMEDCT	1.0	7374	CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH993	2171	CCU002_02 Heart Failure (HF)
2853	7374	2022-05-17T21:21:14.418809Z	3370	4542	1	3370	4486	217580	716971000000109	Heart failure monitoring first letter (procedure)	SNOMEDCT	1.0	7374	CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH993	2171	CCU002_02 Heart Failure (HF)
2853	7374	2022-05-17T21:21:14.418809Z	3370	4542	1	3370	4486	217551	88805009	Chronic congestive heart failure	SNOMEDCT	1.0	7374	CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH993	2171	CCU002_02 Heart Failure (HF)
2853	7374	2022-05-17T21:21:14.418809Z	3370	4542	1	3370	4486	217554	134401001	Left ventricular systolic dysfunction	SNOMEDCT	1.0	7374	CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH993	2171	CCU002_02 Heart Failure (HF)
