concept_id	concept_history_id	concept_history_date	component_id	component_history_id	logical_type	codelist_id	codelist_history_id	id	code	description	attributes.type	concept_version_id	concept_name	coding_system.id	coding_system.name	coding_system.description	phenotype_id	phenotype_version_id	phenotype_name
2720	7241	2022-05-17T21:15:48.795713Z	3237	4276	1	3237	4220	208899	I23	Certain current complications following acute myocardial infarction	1	7241	CCU000 Acute Myocardial Infarction (AMI) - Phenotypes - England hospitalization EHR: AMI diagnosis	4	ICD10 codes	ICD10 Codes	PH942	2120	CCU000 Acute Myocardial Infarction (AMI)
2720	7241	2022-05-17T21:15:48.795713Z	3237	4276	1	3237	4220	208898	I22	Subsequent myocardial infarction	1	7241	CCU000 Acute Myocardial Infarction (AMI) - Phenotypes - England hospitalization EHR: AMI diagnosis	4	ICD10 codes	ICD10 Codes	PH942	2120	CCU000 Acute Myocardial Infarction (AMI)
2720	7241	2022-05-17T21:15:48.795713Z	3237	4276	1	3237	4220	208896	I25.2	Old myocardial infarction	0	7241	CCU000 Acute Myocardial Infarction (AMI) - Phenotypes - England hospitalization EHR: AMI diagnosis	4	ICD10 codes	ICD10 Codes	PH942	2120	CCU000 Acute Myocardial Infarction (AMI)
2720	7241	2022-05-17T21:15:48.795713Z	3237	4276	1	3237	4220	208900	I24.1	Dressler's syndrome	1	7241	CCU000 Acute Myocardial Infarction (AMI) - Phenotypes - England hospitalization EHR: AMI diagnosis	4	ICD10 codes	ICD10 Codes	PH942	2120	CCU000 Acute Myocardial Infarction (AMI)
2720	7241	2022-05-17T21:15:48.795713Z	3237	4276	1	3237	4220	208897	I21	Acute myocardial infarction	1	7241	CCU000 Acute Myocardial Infarction (AMI) - Phenotypes - England hospitalization EHR: AMI diagnosis	4	ICD10 codes	ICD10 Codes	PH942	2120	CCU000 Acute Myocardial Infarction (AMI)
2721	7242	2022-05-17T21:15:50.172538Z	3238	4278	1	3238	4222	208949	428752002	Recent myocardial infarction (situation)	1	7242	CCU000 Acute Myocardial Infarction (AMI) - Phenotypes - England primary care EHR: AMI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH942	2120	CCU000 Acute Myocardial Infarction (AMI)
2721	7242	2022-05-17T21:15:50.172538Z	3238	4278	1	3238	4222	208921	194802003	True posterior myocardial infarction	1	7242	CCU000 Acute Myocardial Infarction (AMI) - Phenotypes - England primary care EHR: AMI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH942	2120	CCU000 Acute Myocardial Infarction (AMI)
2721	7242	2022-05-17T21:15:50.172538Z	3238	4278	1	3238	4222	208916	76593002	Acute myocardial infarction of inferoposterior wall	1	7242	CCU000 Acute Myocardial Infarction (AMI) - Phenotypes - England primary care EHR: AMI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH942	2120	CCU000 Acute Myocardial Infarction (AMI)
2721	7242	2022-05-17T21:15:50.172538Z	3238	4278	1	3238	4222	208928	194865003	Rupture of cardiac wall without hemopericardium as current complication following acute myocardial infarction	1	7242	CCU000 Acute Myocardial Infarction (AMI) - Phenotypes - England primary care EHR: AMI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH942	2120	CCU000 Acute Myocardial Infarction (AMI)
2721	7242	2022-05-17T21:15:50.172538Z	3238	4278	1	3238	4222	208950	698593009	History of non-ST segment elevation myocardial infarction (situation)	0	7242	CCU000 Acute Myocardial Infarction (AMI) - Phenotypes - England primary care EHR: AMI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH942	2120	CCU000 Acute Myocardial Infarction (AMI)
2721	7242	2022-05-17T21:15:50.172538Z	3238	4278	1	3238	4222	208924	194857001	Subsequent myocardial infarction of anterior wall	1	7242	CCU000 Acute Myocardial Infarction (AMI) - Phenotypes - England primary care EHR: AMI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH942	2120	CCU000 Acute Myocardial Infarction (AMI)
2721	7242	2022-05-17T21:15:50.172538Z	3238	4278	1	3238	4222	208910	62695002	Acute anteroseptal myocardial infarction	1	7242	CCU000 Acute Myocardial Infarction (AMI) - Phenotypes - England primary care EHR: AMI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH942	2120	CCU000 Acute Myocardial Infarction (AMI)
2721	7242	2022-05-17T21:15:50.172538Z	3238	4278	1	3238	4222	208972	703164000	Acute ST segment elevation myocardial infarction of anterior wall (disorder)	1	7242	CCU000 Acute Myocardial Infarction (AMI) - Phenotypes - England primary care EHR: AMI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH942	2120	CCU000 Acute Myocardial Infarction (AMI)
2721	7242	2022-05-17T21:15:50.172538Z	3238	4278	1	3238	4222	208934	233846000	Ventricular septal defect as current complication following acute myocardial infarction	0	7242	CCU000 Acute Myocardial Infarction (AMI) - Phenotypes - England primary care EHR: AMI diagnosis	9	SNOMED  CT codes	SNOMED CT codes	PH942	2120	CCU000 Acute Myocardial Infarction (AMI)
