concept_id	concept_history_id	concept_history_date	component_id	component_history_id	logical_type	codelist_id	codelist_history_id	id	code	description	attributes.Entity.type	attributes.Category	attributes.Coding.System..Read.	concept_version_id	concept_name	coding_system.id	coding_system.name	coding_system.description	phenotype_id	phenotype_version_id	phenotype_name
2107	5352	2021-10-06T16:30:12.539199Z	2311	2998	1	2311	2944	133879	G583.11	HFNEF - heart failure with normal ejection fraction	res25: P5_heart_failure	diagnostic	Read	5352	Heart Failure (P5) - Primary Care	5	Read codes v2	Read codes v2	PH687	1374	Heart Failure (P5)
2107	5352	2021-10-06T16:30:12.539199Z	2311	2998	1	2311	2944	133871	G580100	Chronic congestive heart failure	res25: P5_heart_failure	diagnostic	Read	5352	Heart Failure (P5) - Primary Care	5	Read codes v2	Read codes v2	PH687	1374	Heart Failure (P5)
2107	5352	2021-10-06T16:30:12.539199Z	2311	2998	1	2311	2944	133870	G580200	Decompensated cardiac failure	res25: P5_heart_failure	diagnostic	Read	5352	Heart Failure (P5) - Primary Care	5	Read codes v2	Read codes v2	PH687	1374	Heart Failure (P5)
2107	5352	2021-10-06T16:30:12.539199Z	2311	2998	1	2311	2944	133884	G58z.00	Heart failure NOS	res25: P5_heart_failure	diagnostic	Read	5352	Heart Failure (P5) - Primary Care	5	Read codes v2	Read codes v2	PH687	1374	Heart Failure (P5)
2107	5352	2021-10-06T16:30:12.539199Z	2311	2998	1	2311	2944	133880	G583.00	Heart failure with normal ejection fraction	res25: P5_heart_failure	diagnostic	Read	5352	Heart Failure (P5) - Primary Care	5	Read codes v2	Read codes v2	PH687	1374	Heart Failure (P5)
2107	5352	2021-10-06T16:30:12.539199Z	2311	2998	1	2311	2944	133875	G581.11	Asthma - cardiac	res25: P5_heart_failure	diagnostic	Read	5352	Heart Failure (P5) - Primary Care	5	Read codes v2	Read codes v2	PH687	1374	Heart Failure (P5)
2107	5352	2021-10-06T16:30:12.539199Z	2311	2998	1	2311	2944	133860	G580.13	Right ventricular failure	res25: P5_heart_failure	diagnostic	Read	5352	Heart Failure (P5) - Primary Care	5	Read codes v2	Read codes v2	PH687	1374	Heart Failure (P5)
2107	5352	2021-10-06T16:30:12.539199Z	2311	2998	1	2311	2944	133865	G58..11	Cardiac failure	res25: P5_heart_failure	diagnostic	Read	5352	Heart Failure (P5) - Primary Care	5	Read codes v2	Read codes v2	PH687	1374	Heart Failure (P5)
2107	5352	2021-10-06T16:30:12.539199Z	2311	2998	1	2311	2944	133861	G580.12	Right heart failure	res25: P5_heart_failure	diagnostic	Read	5352	Heart Failure (P5) - Primary Care	5	Read codes v2	Read codes v2	PH687	1374	Heart Failure (P5)
2107	5352	2021-10-06T16:30:12.539199Z	2311	2998	1	2311	2944	133878	G581000	Acute left ventricular failure	res25: P5_heart_failure	diagnostic	Read	5352	Heart Failure (P5) - Primary Care	5	Read codes v2	Read codes v2	PH687	1374	Heart Failure (P5)
