concept_id	concept_history_id	concept_history_date	component_id	component_history_id	logical_type	codelist_id	codelist_history_id	id	code	description	attributes	concept_version_id	concept_name	coding_system.id	coding_system.name	coding_system.description	phenotype_id	phenotype_version_id	phenotype_name
3561	10879	2024-04-25T19:32:26.595698Z	9312	11585	1	9312	10748	359485	40201	Malignant hypertensive heart disease with heart failure		10879	Heart failure	17	ICD9 codes	ICD9 codes	PH1645	3369	Heart failure
3561	10879	2024-04-25T19:32:26.595698Z	9312	11585	1	9312	10748	359476	42830	Diastolic heart failure NOS		10879	Heart failure	17	ICD9 codes	ICD9 codes	PH1645	3369	Heart failure
3561	10879	2024-04-25T19:32:26.595698Z	9312	11585	1	9312	10748	359478	42832	Chronic diastolic heart failure		10879	Heart failure	17	ICD9 codes	ICD9 codes	PH1645	3369	Heart failure
3561	10879	2024-04-25T19:32:26.595698Z	9312	11585	1	9312	10748	359471	4281	Left heart failure		10879	Heart failure	17	ICD9 codes	ICD9 codes	PH1645	3369	Heart failure
3561	10879	2024-04-25T19:32:26.595698Z	9312	11585	1	9312	10748	359483	42843	Acute on chronic systolic & diastolic heart failure		10879	Heart failure	17	ICD9 codes	ICD9 codes	PH1645	3369	Heart failure
3561	10879	2024-04-25T19:32:26.595698Z	9312	11585	1	9312	10748	359477	42831	Acute diastolic heart failure		10879	Heart failure	17	ICD9 codes	ICD9 codes	PH1645	3369	Heart failure
3561	10879	2024-04-25T19:32:26.595698Z	9340	11586	1	9340	10779	360108	4252	Obscure cardiomyopathy of Africa		10879	Heart failure	17	ICD9 codes	ICD9 codes	PH1645	3369	Heart failure
3561	10879	2024-04-25T19:32:26.595698Z	9312	11585	1	9312	10748	359492	40491	Unspecified hypertensive heart  & kidney disease (stage 1-4) with heart failure		10879	Heart failure	17	ICD9 codes	ICD9 codes	PH1645	3369	Heart failure
3561	10879	2024-04-25T19:32:26.595698Z	9312	11585	1	9312	10748	359484	4289	Heart failure, unspecified		10879	Heart failure	17	ICD9 codes	ICD9 codes	PH1645	3369	Heart failure
3561	10879	2024-04-25T19:32:26.595698Z	9312	11585	1	9312	10748	359486	40211	Benign hypertensive heart disease with heart failure		10879	Heart failure	17	ICD9 codes	ICD9 codes	PH1645	3369	Heart failure
3561	10879	2024-04-25T19:32:26.595698Z	9312	11585	1	9312	10748	359482	42842	Chronic systolic & diastolic heart failure		10879	Heart failure	17	ICD9 codes	ICD9 codes	PH1645	3369	Heart failure
3561	10879	2024-04-25T19:32:26.595698Z	9340	11586	1	9340	10779	360106	425	Cardiomyopathy		10879	Heart failure	17	ICD9 codes	ICD9 codes	PH1645	3369	Heart failure
3561	10879	2024-04-25T19:32:26.595698Z	9312	11585	1	9312	10748	359470	4280	Congestive heart failure		10879	Heart failure	17	ICD9 codes	ICD9 codes	PH1645	3369	Heart failure
3561	10879	2024-04-25T19:32:26.595698Z	9340	11586	1	9340	10779	360107	4250	Endomyocardial fibrosis		10879	Heart failure	17	ICD9 codes	ICD9 codes	PH1645	3369	Heart failure
3561	10879	2024-04-25T19:32:26.595698Z	9312	11585	1	9312	10748	359472	42820	Systolic heart failure NOS		10879	Heart failure	17	ICD9 codes	ICD9 codes	PH1645	3369	Heart failure
3561	10879	2024-04-25T19:32:26.595698Z	9312	11585	1	9312	10748	359490	40411	Benign hypertensive heart & kidney disease (stage 1-4) with heart failure		10879	Heart failure	17	ICD9 codes	ICD9 codes	PH1645	3369	Heart failure
3561	10879	2024-04-25T19:32:26.595698Z	9340	11586	1	9340	10779	360105	4254	Other primary cardiomyopathies		10879	Heart failure	17	ICD9 codes	ICD9 codes	PH1645	3369	Heart failure
3561	10879	2024-04-25T19:32:26.595698Z	9340	11586	1	9340	10779	360109	4253	Endocardial fibroelastosis		10879	Heart failure	17	ICD9 codes	ICD9 codes	PH1645	3369	Heart failure
3561	10879	2024-04-25T19:32:26.595698Z	9312	11585	1	9312	10748	359487	40291	Unspecified hypertensive heart disease with heart failure		10879	Heart failure	17	ICD9 codes	ICD9 codes	PH1645	3369	Heart failure
3561	10879	2024-04-25T19:32:26.595698Z	9340	11586	1	9340	10779	360114	42983	Takotsubo syndrome		10879	Heart failure	17	ICD9 codes	ICD9 codes	PH1645	3369	Heart failure
3561	10879	2024-04-25T19:32:26.595698Z	9312	11585	1	9312	10748	359493	40493	Unspecified hypertensive heart  & kidney disease (stage 5) with heart failure		10879	Heart failure	17	ICD9 codes	ICD9 codes	PH1645	3369	Heart failure
3561	10879	2024-04-25T19:32:26.595698Z	9312	11585	1	9312	10748	359480	42840	Systolic & diastolic heart failure NOS		10879	Heart failure	17	ICD9 codes	ICD9 codes	PH1645	3369	Heart failure
3561	10879	2024-04-25T19:32:26.595698Z	9312	11585	1	9312	10748	359473	42821	Acute systolic heart failure		10879	Heart failure	17	ICD9 codes	ICD9 codes	PH1645	3369	Heart failure
3561	10879	2024-04-25T19:32:26.595698Z	9312	11585	1	9312	10748	359481	42841	Acute systolic & diastolic heart failure		10879	Heart failure	17	ICD9 codes	ICD9 codes	PH1645	3369	Heart failure
3561	10879	2024-04-25T19:32:26.595698Z	9312	11585	1	9312	10748	359491	40413	Benign hypertensive heart & kidney disease (stage 5) with heart failure		10879	Heart failure	17	ICD9 codes	ICD9 codes	PH1645	3369	Heart failure
3561	10879	2024-04-25T19:32:26.595698Z	9312	11585	1	9312	10748	359474	42822	Chronic systolic heart failure		10879	Heart failure	17	ICD9 codes	ICD9 codes	PH1645	3369	Heart failure
3561	10879	2024-04-25T19:32:26.595698Z	9312	11585	1	9312	10748	359488	40401	Malignant hypertensive heart & kidney disease (stage 1-4) with heart failure		10879	Heart failure	17	ICD9 codes	ICD9 codes	PH1645	3369	Heart failure
3561	10879	2024-04-25T19:32:26.595698Z	9312	11585	1	9312	10748	359475	42823	Acute on chronic systolic heart failure		10879	Heart failure	17	ICD9 codes	ICD9 codes	PH1645	3369	Heart failure
